
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1998-99,20,VAN,NBA,PG,50,1758,14.8,.487,.122,.279,2.0,7.2,4.6,35.1,2.4,0.2,17.7,21.5,,1.1,0.2,1.3,.035,,0.3,-2.5,-2.2,-0.1
1999-00,21,VAN,NBA,PG,82,3155,16.7,.521,.206,.242,2.8,8.9,5.8,36.2,2.2,0.3,17.8,20.0,,4.5,1.1,5.6,.086,,2.0,-1.9,0.2,1.7
2000-01,22,VAN,NBA,PG,82,3190,16.8,.525,.246,.162,1.7,9.2,5.5,38.3,1.8,0.3,16.7,21.3,,4.0,1.4,5.3,.081,,2.3,-1.6,0.7,2.2
2001-02,23,SAC,NBA,PG,80,2659,14.9,.513,.140,.196,1.5,7.3,4.5,23.0,1.6,0.4,11.1,19.7,,3.7,2.6,6.3,.113,,0.4,-0.8,-0.4,1.1
2002-03,24,SAC,NBA,PG,55,1835,17.6,.559,.196,.267,2.1,6.3,4.3,24.3,2.0,0.3,14.0,21.9,,3.5,2.0,5.6,.146,,1.9,-0.9,1.0,1.4
2003-04,25,SAC,NBA,PG,82,2980,19.3,.564,.323,.319,2.6,7.8,5.3,24.5,1.9,0.4,11.6,22.9,,8.0,1.3,9.3,.151,,4.0,-1.9,2.1,3.1
2004-05,26,SAC,NBA,PG,80,3084,19.2,.543,.288,.327,2.8,9.2,6.0,28.1,2.1,0.7,12.3,23.8,,6.6,1.9,8.5,.133,,3.5,-1.2,2.3,3.3
2005-06,27,SAC,NBA,PG,82,3167,17.9,.554,.360,.292,1.1,7.7,4.4,25.2,1.4,0.2,11.3,25.4,,6.0,2.4,8.4,.127,,3.2,-2.3,1.0,2.4
2006-07,28,SAC,NBA,PG,82,2784,16.0,.532,.413,.298,1.6,9.6,5.5,24.3,1.6,0.2,13.0,24.5,,2.9,1.5,4.4,.076,,2.1,-2.0,0.1,1.4
2007-08,29,TOT,NBA,PG,48,1573,14.5,.515,.411,.166,1.2,10.6,6.0,30.9,1.8,0.2,15.5,22.0,,1.1,0.9,2.1,.063,,1.3,-2.3,-1.0,0.4
2007-08,29,SAC,NBA,PG,15,473,13.5,.494,.318,.161,2.8,11.0,7.0,26.3,2.0,0.3,15.6,23.0,,0.0,0.3,0.3,.035,,0.1,-1.7,-1.6,0.1
2007-08,29,ATL,NBA,PG,33,1100,14.9,.526,.455,.168,0.5,10.4,5.5,32.9,1.7,0.1,15.5,21.5,,1.1,0.6,1.7,.076,,1.7,-2.6,-0.8,0.3
2008-09,30,ATL,NBA,PG,79,2740,16.3,.544,.426,.170,1.6,10.3,6.0,24.2,1.9,0.3,10.6,20.6,,4.4,2.5,6.9,.121,,2.6,-0.9,1.7,2.6
2009-10,31,ATL,NBA,PG,80,2195,12.7,.538,.503,.123,1.1,8.8,4.9,20.8,1.6,0.1,11.7,16.1,,3.0,1.7,4.8,.104,,1.2,-1.5,-0.2,1.0
2010-11,32,TOT,NBA,PG,80,2285,10.9,.570,.604,.108,0.9,9.2,5.1,17.9,1.2,0.3,14.3,14.6,,2.2,1.8,4.0,.085,,0.6,-1.2,-0.6,0.8
2010-11,32,ATL,NBA,PG,56,1674,11.7,.570,.580,.104,1.1,9.1,5.1,18.9,1.2,0.3,12.8,15.0,,1.9,1.2,3.1,.089,,1.0,-1.3,-0.3,0.7
2010-11,32,WAS,NBA,PG,2,29,1.1,.111,.444,.000,0.0,12.2,5.9,37.8,1.8,0.0,10.0,15.2,,-0.1,0.0,-0.1,-0.161,,-7.9,-3.4,-11.3,-0.1
2010-11,32,MIA,NBA,PG,22,582,9.0,.601,.698,.127,0.4,9.1,5.0,14.1,1.0,0.4,19.4,13.3,,0.4,0.6,1.0,.084,,0.0,-0.8,-0.9,0.2
2011-12,33,NYK,NBA,PG,39,557,7.8,.404,.685,.065,1.0,11.3,6.1,21.2,1.9,0.4,13.6,11.9,,0.0,0.7,0.7,.061,,-2.3,-0.2,-2.5,-0.1
Career,,,NBA,,1001,33962,16.1,.536,.322,.237,1.8,8.7,5.3,27.2,1.8,0.3,13.5,21.1,,51.2,22.0,73.2,.104,,2.0,-1.6,0.5,21.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,SAC,NBA,,476,16982,17.4,.543,.300,.284,2.0,8.2,5.1,25.0,1.8,0.4,12.2,23.2,,30.8,12.1,42.9,.121,,2.6,-1.6,1.0,12.7
4 seasons,,ATL,NBA,,248,7709,14.1,.544,.478,.146,1.2,9.6,5.4,23.3,1.6,0.2,12.1,18.3,,10.4,6.0,16.5,.103,,1.8,-1.4,0.4,4.6
3 seasons,,VAN,NBA,,214,8103,16.3,.515,.204,.217,2.2,8.6,5.4,36.8,2.1,0.3,17.3,20.9,,9.6,2.6,12.3,.073,,1.8,-1.9,-0.2,3.8
1 season,,NYK,NBA,,39,557,7.8,.404,.685,.065,1.0,11.3,6.1,21.2,1.9,0.4,13.6,11.9,,0.0,0.7,0.7,.061,,-2.3,-0.2,-2.5,-0.1
1 season,,MIA,NBA,,22,582,9.0,.601,.698,.127,0.4,9.1,5.0,14.1,1.0,0.4,19.4,13.3,,0.4,0.6,1.0,.084,,0.0,-0.8,-0.9,0.2
1 season,,WAS,NBA,,2,29,1.1,.111,.444,.000,0.0,12.2,5.9,37.8,1.8,0.0,10.0,15.2,,-0.1,0.0,-0.1,-0.161,,-7.9,-3.4,-11.3,-0.1
