
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1997-98,21,TOT,NBA,PG,80,2216,13.6,.516,.434,.355,3.0,7.1,5.0,22.6,2.5,0.1,16.7,20.4,,2.1,0.9,3.0,.065,,0.8,-2.6,-1.8,0.1
1997-98,21,BOS,NBA,PG,51,1296,15.4,.530,.416,.396,3.3,7.3,5.1,26.7,3.1,0.1,18.1,21.7,,1.6,1.0,2.6,.096,,1.5,-1.9,-0.3,0.5
1997-98,21,TOR,NBA,PG,29,920,11.1,.493,.461,.292,2.6,7.0,4.7,16.7,1.7,0.1,14.4,18.5,,0.6,-0.2,0.4,.020,,-0.2,-3.7,-4.0,-0.5
1998-99,22,DEN,NBA,SG,45,1488,15.1,.547,.475,.347,1.8,5.8,3.7,20.4,2.1,0.7,14.7,20.3,,2.8,-0.5,2.3,.075,,2.6,-2.7,-0.1,0.7
1999-00,23,DEN,NBA,SG,13,305,10.5,.465,.406,.436,2.8,9.4,6.1,19.4,1.7,0.4,16.6,20.6,,0.0,0.2,0.1,.023,,-1.4,-1.9,-3.3,-0.1
2000-01,24,MIN,NBA,SG,77,1790,14.1,.538,.330,.291,2.0,8.1,5.0,22.2,1.5,0.4,14.4,19.5,,2.7,0.9,3.7,.098,,1.0,-2.4,-1.4,0.3
2001-02,25,MIN,NBA,PG,82,2355,17.6,.555,.383,.284,1.7,9.2,5.5,29.2,1.5,0.5,13.0,20.4,,6.1,1.5,7.6,.156,,3.5,-2.0,1.5,2.1
2002-03,26,DET,NBA,PG,74,2327,20.4,.582,.437,.416,1.9,12.2,7.0,23.7,1.5,0.5,11.5,24.1,,7.0,2.9,9.9,.204,,5.0,-0.7,4.2,3.7
2003-04,27,DET,NBA,PG,78,2758,18.6,.550,.336,.462,1.5,10.0,5.8,29.3,1.7,0.2,13.6,23.5,,7.1,4.2,11.3,.198,,3.9,-0.5,3.4,3.7
2004-05,28,DET,NBA,PG,80,2866,19.0,.609,.424,.418,2.0,9.0,5.5,28.2,1.6,0.2,14.3,20.7,,8.6,3.5,12.1,.202,,4.7,-0.9,3.8,4.2
2005-06 ★,29,DET,NBA,PG,81,2925,23.4,.602,.420,.514,1.6,8.7,5.1,39.3,1.3,0.2,12.0,22.9,,12.7,2.8,15.5,.254,,6.9,-2.2,4.7,4.9
2006-07 ★,30,DET,NBA,PG,70,2533,21.3,.591,.388,.536,1.1,10.0,5.6,32.9,1.8,0.5,12.2,21.5,,8.7,2.7,11.4,.216,,5.4,-0.9,4.4,4.1
2007-08 ★,31,DET,NBA,PG,78,2522,23.6,.619,.390,.498,2.0,8.1,5.0,34.7,2.2,0.5,13.0,23.0,,10.2,3.4,13.5,.257,,6.8,-0.7,6.1,5.2
2008-09 ★,32,TOT,NBA,PG,79,2789,18.8,.592,.405,.467,1.4,8.4,5.0,28.9,1.7,0.5,13.0,21.7,,7.9,2.2,10.1,.174,,4.2,-1.7,2.5,3.2
2008-09 ★,32,DET,NBA,PG,2,70,17.5,.492,.333,.476,1.7,15.5,8.5,33.0,2.4,1.1,13.6,20.0,,0.1,0.1,0.2,.124,,0.3,0.1,0.4,0.0
2008-09 ★,32,DEN,NBA,PG,77,2719,18.8,.595,.407,.467,1.4,8.2,4.9,28.8,1.7,0.5,13.0,21.8,,7.8,2.1,9.9,.176,,4.3,-1.7,2.5,3.1
2009-10 ★,33,DEN,NBA,PG,73,2490,20.2,.601,.423,.532,1.2,9.3,5.3,26.1,1.7,0.3,13.0,24.3,,7.7,1.7,9.5,.182,,5.0,-1.9,3.1,3.2
2010-11,34,TOT,NBA,PG,72,2310,18.7,.617,.457,.528,1.3,8.1,4.7,25.8,1.5,0.5,15.3,22.3,,6.6,1.4,8.0,.166,,4.1,-2.1,1.9,2.3
2010-11,34,DEN,NBA,PG,51,1646,18.6,.634,.444,.535,0.9,7.7,4.4,25.1,1.6,0.6,16.3,21.4,,4.7,1.1,5.8,.171,,4.0,-1.6,2.4,1.8
2010-11,34,NYK,NBA,PG,21,664,19.1,.582,.484,.512,2.2,9.0,5.6,27.4,1.4,0.2,13.2,24.3,,1.9,0.2,2.1,.155,,4.2,-3.4,0.8,0.5
2011-12,35,LAC,NBA,SG,20,607,16.1,.554,.548,.417,0.8,9.1,4.9,21.0,0.8,0.4,12.3,23.4,,1.5,0.2,1.7,.135,,2.9,-3.2,-0.4,0.3
2012-13,36,LAC,NBA,SG,22,418,15.0,.601,.682,.364,0.6,8.4,4.6,17.4,1.5,0.2,14.5,19.6,,1.0,0.3,1.3,.146,,2.4,-2.7,-0.2,0.2
2013-14,37,DET,NBA,SG,19,309,5.3,.427,.608,.152,1.3,8.9,4.9,18.7,1.3,0.3,22.9,15.1,,-0.3,0.1,-0.3,-0.042,,-3.8,-2.4,-6.3,-0.3
Career,,,NBA,,1043,33008,18.8,.580,.414,.441,1.7,8.9,5.3,28.1,1.7,0.4,13.6,21.9,,92.4,28.3,120.8,.176,,4.1,-1.6,2.5,37.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,DET,NBA,,482,16310,20.7,.589,.401,.469,1.7,9.6,5.6,31.3,1.7,0.4,12.9,22.4,,54.0,19.6,73.6,.217,,5.2,-1.0,4.2,25.5
5 seasons,,DEN,NBA,,259,8648,18.2,.592,.429,.479,1.3,8.1,4.7,25.6,1.7,0.5,14.0,22.2,,23.0,4.7,27.7,.154,,3.9,-1.9,2.0,8.8
2 seasons,,MIN,NBA,,159,4145,16.1,.548,.361,.287,1.9,8.8,5.3,26.2,1.5,0.5,13.6,20.0,,8.9,2.4,11.3,.131,,2.4,-2.2,0.3,2.4
