
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1989-90,22,NJN,NBA,PG,50,1267,11.5,.416,.140,.142,3.3,8.8,5.9,26.2,3.1,0.7,15.5,22.8,,-1.6,1.3,-0.3,-0.011,,-2.1,0.1,-2.0,0.0
1990-91,23,NJN,NBA,PG,72,2585,13.1,.455,.088,.169,2.6,7.7,5.1,25.5,3.2,0.9,15.6,20.6,,-0.7,2.9,2.1,.040,,-1.2,0.7,-0.5,1.0
1991-92,24,NJN,NBA,PG,72,2548,15.2,.465,.054,.178,4.1,7.2,5.6,27.2,3.3,0.9,12.4,19.3,,2.3,2.6,4.9,.092,,0.4,0.5,0.9,1.9
1992-93,25,ATL,NBA,PG,80,2820,17.1,.515,.327,.175,3.4,7.8,5.5,33.6,3.5,0.5,15.3,18.0,,4.4,2.6,7.0,.119,,2.5,-0.1,2.5,3.2
1993-94 ★,26,ATL,NBA,PG,81,2915,19.6,.487,.316,.147,4.4,11.6,8.0,40.4,3.7,1.0,14.6,19.8,,4.9,5.3,10.2,.168,,3.4,1.9,5.3,5.4
1994-95,27,ATL,NBA,PG,80,3069,19.2,.531,.463,.179,4.3,10.7,7.5,34.2,3.5,0.6,15.8,22.7,,4.6,4.8,9.4,.147,,4.2,1.4,5.5,5.8
1995-96,28,ATL,NBA,PG,81,2893,18.9,.529,.555,.151,4.3,9.5,6.8,27.6,3.9,0.5,13.6,21.5,,5.4,3.6,9.0,.149,,4.6,0.6,5.2,5.3
1996-97,29,ATL,NBA,PG,78,3056,20.4,.548,.521,.150,4.6,11.4,8.1,27.7,3.8,0.5,13.0,21.9,,7.0,5.6,12.5,.197,,5.3,2.0,7.2,7.1
1997-98,30,ATL,NBA,PG,70,2700,16.1,.462,.356,.143,3.7,10.9,7.4,29.5,3.7,0.5,15.0,20.1,,1.9,3.7,5.6,.099,,2.2,1.3,3.6,3.8
1998-99,31,ATL,NBA,PG,48,1763,16.7,.463,.386,.140,3.0,11.8,7.4,31.7,3.2,0.4,14.3,21.5,,1.5,3.2,4.7,.127,,2.9,2.0,4.9,3.1
1999-00,32,GSW,NBA,PG,73,2459,15.1,.468,.360,.114,2.2,9.8,5.8,31.8,3.0,0.6,14.0,17.5,,1.9,1.4,3.3,.065,,1.0,-0.8,0.2,1.4
2000-01,33,GSW,NBA,PG,69,2352,15.8,.455,.281,.095,3.0,9.9,6.1,32.3,3.5,0.6,13.3,17.3,,1.9,1.6,3.5,.071,,1.1,-0.3,0.8,1.7
2001-02,34,GSW,NBA,PG,35,599,9.2,.398,.288,.055,1.4,8.1,4.7,28.2,2.0,0.5,19.8,13.1,,-0.2,0.1,-0.1,-0.004,,-3.3,-2.4,-5.7,-0.6
Career,,,NBA,,889,31026,16.8,.488,.332,.150,3.6,9.8,6.6,30.9,3.5,0.6,14.4,20.1,,33.3,38.5,71.8,.111,,2.2,0.8,3.0,38.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,ATL,NBA,,518,19216,18.4,.509,.425,.156,4.0,10.5,7.2,32.1,3.6,0.6,14.5,20.8,,29.7,28.7,58.4,.146,,3.7,1.3,4.9,33.6
3 seasons,,NJN,NBA,,194,6400,13.6,.451,.086,.167,3.3,7.7,5.4,26.3,3.2,0.9,14.4,20.5,,0.0,6.8,6.7,.050,,-0.7,0.5,-0.2,2.8
3 seasons,,GSW,NBA,,177,5410,14.7,.457,.318,.100,2.4,9.6,5.8,31.6,3.1,0.6,14.2,16.9,,3.6,3.1,6.7,.060,,0.6,-0.8,-0.2,2.5
