
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1987-88,23,WSB,NBA,PG,79,1628,12.7,.429,.038,.174,2.4,7.0,4.7,33.5,3.8,0.1,18.0,14.2,,0.2,2.1,2.3,.066,,-1.5,0.2,-1.3,0.3
1988-89,24,CHH,NBA,PG,79,1755,15.3,.463,.031,.211,3.2,7.4,5.2,46.2,3.0,0.2,21.4,13.6,,1.6,1.0,2.6,.070,,-1.2,-1.9,-3.1,-0.5
1989-90,25,CHH,NBA,PG,81,2743,16.9,.528,.039,.202,1.9,7.0,4.3,44.6,3.0,0.1,16.8,13.5,,4.6,2.1,6.7,.117,,0.4,-1.4,-0.9,0.7
1990-91,26,CHH,NBA,PG,81,2299,15.4,.497,.023,.206,2.8,8.1,5.4,40.2,2.9,0.1,17.4,12.8,,3.1,1.7,4.8,.100,,0.0,-1.0,-1.0,0.6
1991-92,27,CHH,NBA,PG,82,2790,14.0,.504,.040,.179,2.2,6.9,4.5,33.4,2.9,0.1,17.7,12.8,,3.0,1.8,4.8,.082,,-0.5,-1.0,-1.4,0.4
1992-93,28,CHH,NBA,PG,81,2833,14.5,.503,.036,.230,2.0,8.9,5.6,32.5,2.7,0.1,16.1,13.9,,3.6,2.3,5.9,.100,,0.3,-0.1,0.2,1.5
1993-94,29,CHH,NBA,PG,77,2746,16.2,.510,.016,.206,3.2,9.2,6.3,39.2,2.4,0.0,17.3,15.4,,4.8,1.7,6.4,.112,,1.1,-1.0,0.1,1.5
1994-95,30,CHH,NBA,PG,78,2629,16.9,.533,.041,.247,2.4,8.9,5.8,40.3,2.1,0.0,14.0,16.6,,5.8,2.8,8.6,.157,,1.0,-0.8,0.2,1.5
1995-96,31,CHH,NBA,PG,6,77,10.6,.415,.063,.125,9.3,1.6,5.5,35.1,1.4,0.0,26.2,13.4,,0.0,0.0,0.0,.020,,-2.3,-3.7,-6.0,-0.1
1996-97,32,CHH,NBA,PG,65,1880,15.7,.554,.325,.144,1.7,7.2,4.5,38.6,2.4,0.1,18.6,14.5,,3.9,1.1,5.0,.127,,1.3,-2.7,-1.3,0.3
1997-98,33,TOT,NBA,PG,61,1570,12.4,.492,.050,.211,2.0,7.1,4.5,33.6,2.2,0.1,22.9,12.7,,0.7,1.0,1.7,.053,,-2.8,-1.4,-4.1,-0.8
1997-98,33,CHH,NBA,PG,2,16,20.6,.510,.000,.400,0.0,7.5,3.8,40.0,6.7,0.0,14.5,19.9,,0.0,0.0,0.1,.193,,0.3,-0.2,0.1,0.0
1997-98,33,GSW,NBA,PG,59,1554,12.3,.491,.050,.208,2.0,7.1,4.5,33.5,2.2,0.1,23.1,12.7,,0.7,1.0,1.7,.051,,-2.8,-1.4,-4.2,-0.8
1998-99,34,GSW,NBA,PG,36,714,15.3,.539,.039,.234,2.3,8.7,5.5,30.9,3.3,0.1,21.7,13.5,,0.9,0.8,1.7,.117,,-1.0,0.5,-0.5,0.3
1999-00,35,TOR,NBA,PG,80,1731,12.5,.517,.142,.243,1.6,7.4,4.4,26.0,1.9,0.2,13.0,11.6,,2.7,0.9,3.7,.102,,-1.1,-2.0,-3.0,-0.4
2000-01,36,TOR,NBA,PG,3,34,-0.5,.000,.500,.000,0.0,10.2,5.0,19.3,3.1,0.0,66.7,7.9,,-0.1,0.0,-0.1,-0.128,,-9.7,1.5,-8.3,-0.1
Career,,,NBA,,889,25429,15.0,.506,.061,.207,2.3,7.9,5.1,37.2,2.7,0.1,17.5,13.9,,34.7,19.3,54.0,.102,,-0.1,-1.1,-1.2,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,CHH,NBA,,632,19768,15.6,.512,.059,.206,2.4,8.0,5.2,39.0,2.7,0.1,17.1,14.2,,30.4,14.4,44.8,.109,,0.3,-1.1,-0.8,6.0
2 seasons,,GSW,NBA,,95,2268,13.2,.507,.047,.216,2.1,7.6,4.8,32.7,2.5,0.1,22.6,12.9,,1.6,1.9,3.4,.072,,-2.2,-0.8,-3.0,-0.6
2 seasons,,TOR,NBA,,83,1765,12.3,.515,.144,.242,1.5,7.4,4.4,25.9,2.0,0.2,13.7,11.6,,2.6,1.0,3.6,.097,,-1.2,-1.9,-3.1,-0.5
1 season,,WSB,NBA,,79,1628,12.7,.429,.038,.174,2.4,7.0,4.7,33.5,3.8,0.1,18.0,14.2,,0.2,2.1,2.3,.066,,-1.5,0.2,-1.3,0.3
