
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1991-92,21,CLE,NBA,PG,82,1605,12.8,.461,.038,.206,3.5,7.6,5.6,27.8,2.6,0.8,17.2,21.5,,-0.6,1.5,0.9,.028,,-2.2,-0.8,-3.0,-0.4
1992-93,22,CLE,NBA,PG,82,1622,16.7,.530,.068,.230,2.7,9.6,6.3,27.4,2.5,1.0,13.5,21.6,,1.9,2.1,3.9,.117,,0.1,-0.3,-0.2,0.7
1993-94,23,CLE,NBA,PG,73,1548,15.0,.489,.058,.296,2.8,9.1,6.0,27.9,2.8,0.7,15.2,21.1,,1.1,1.8,2.9,.091,,-0.8,-0.2,-1.0,0.4
1994-95,24,CLE,NBA,PG,67,1961,18.7,.527,.159,.244,2.2,9.9,5.9,35.8,3.1,0.6,14.6,24.2,,2.6,3.0,5.6,.137,,2.0,0.5,2.5,2.2
1995-96 ★,25,CLE,NBA,PG,75,2570,25.2,.573,.214,.348,2.4,10.6,6.4,38.1,3.0,1.1,10.1,27.6,,9.5,3.1,12.7,.237,,6.0,-0.1,6.0,5.2
1996-97 ★,26,CLE,NBA,PG,78,2868,21.5,.526,.206,.226,2.1,11.7,6.8,35.6,2.8,0.9,11.0,28.3,,6.2,4.7,10.8,.181,,3.8,0.8,4.6,4.8
1997-98,27,MIL,NBA,PG,50,1784,20.2,.526,.127,.213,1.6,10.6,6.0,40.0,3.3,0.7,15.3,24.2,,3.1,2.0,5.1,.136,,3.1,-0.1,3.0,2.2
1998-99,28,TOT,NBA,PG,36,1217,19.5,.463,.093,.154,2.5,10.6,6.4,44.0,2.8,0.6,12.0,23.0,,1.9,1.2,3.2,.126,,2.6,-0.7,1.8,1.2
1998-99,28,MIL,NBA,PG,15,505,17.4,.458,.135,.149,2.7,9.9,6.3,36.8,2.6,0.5,14.0,24.4,,0.5,0.4,0.9,.083,,1.6,-0.9,0.7,0.3
1998-99,28,MIN,NBA,PG,21,712,20.9,.466,.064,.157,2.3,11.1,6.4,49.1,2.9,0.7,10.6,22.1,,1.5,0.8,2.3,.157,,3.2,-0.6,2.6,0.8
1999-00,29,MIN,NBA,PG,71,2587,20.8,.535,.127,.200,2.0,8.8,5.4,39.1,2.7,0.8,14.0,23.0,,5.8,2.8,8.6,.159,,3.6,-0.7,2.9,3.2
2000-01,30,MIN,NBA,PG,78,2821,20.0,.507,.080,.198,2.4,9.7,6.0,33.7,3.0,0.5,11.2,22.2,,5.8,2.7,8.5,.145,,2.8,-0.3,2.5,3.2
2001-02,31,MIN,NBA,PG,32,962,21.2,.494,.063,.230,2.1,9.0,5.6,42.8,2.9,0.5,9.7,20.9,,2.8,0.9,3.7,.186,,3.2,-1.0,2.1,1.0
Career,,,NBA,,724,21545,19.7,.519,.127,.234,2.4,9.9,6.1,35.5,2.9,0.8,12.9,23.9,,40.1,25.9,65.9,.147,,2.5,-0.2,2.4,23.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,CLE,NBA,,457,12174,19.2,.526,.147,.262,2.6,10.0,6.3,33.0,2.8,0.9,12.9,24.8,,20.7,16.2,36.9,.145,,2.1,0.1,2.2,12.9
4 seasons,,MIN,NBA,,202,7082,20.5,.511,.093,.198,2.2,9.4,5.8,38.5,2.9,0.7,12.0,22.3,,15.9,7.3,23.1,.157,,3.2,-0.6,2.6,8.2
2 seasons,,MIL,NBA,,65,2289,19.6,.511,.129,.199,1.8,10.4,6.1,39.3,3.2,0.7,15.1,24.2,,3.5,2.4,5.9,.124,,2.8,-0.3,2.5,2.6
