
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1993-94,24,HOU,NBA,PG,66,1122,13.1,.506,.227,.276,2.6,10.2,6.6,25.8,2.7,0.4,17.8,20.9,,0.4,1.8,2.2,.093,,-1.5,0.2,-1.2,0.2
1994-95,25,HOU,NBA,PG,82,1882,15.9,.556,.322,.428,2.4,10.1,6.4,32.3,2.5,0.5,19.2,20.8,,2.7,2.0,4.7,.120,,0.5,-0.9,-0.4,0.8
1995-96,26,HOU,NBA,PG,61,1682,16.8,.565,.319,.433,3.5,9.0,6.3,27.3,1.6,0.2,16.7,25.1,,2.6,1.2,3.9,.110,,1.8,-2.2,-0.4,0.7
1996-97,27,TOT,NBA,PG,61,1714,18.4,.541,.295,.321,3.0,9.1,6.0,31.8,2.3,0.8,15.8,27.3,,2.7,1.1,3.9,.108,,2.8,-1.6,1.2,1.4
1996-97,27,PHO,NBA,PG,22,539,18.3,.550,.257,.515,2.6,8.2,5.4,30.3,2.2,0.8,16.9,29.7,,0.8,0.4,1.2,.103,,1.8,-2.0,-0.2,0.2
1996-97,27,DAL,NBA,PG,16,398,15.8,.527,.297,.303,4.0,10.7,7.3,26.8,2.3,1.2,18.0,26.3,,0.2,0.3,0.5,.062,,0.6,-0.8,-0.1,0.2
1996-97,27,NJN,NBA,PG,23,777,19.7,.542,.318,.204,2.8,9.0,5.7,35.4,2.5,0.7,14.0,26.2,,1.8,0.4,2.2,.136,,4.7,-1.9,2.8,0.9
1997-98,28,NJN,NBA,PG,75,2606,21.0,.533,.069,.439,3.0,7.4,5.1,40.4,2.4,0.6,16.3,27.5,,6.6,1.7,8.3,.152,,4.1,-1.5,2.6,3.0
1998-99,29,TOT,NBA,PG,8,199,23.1,.552,.108,.538,3.0,5.9,4.4,35.1,2.5,0.0,14.8,31.0,,0.7,0.1,0.8,.187,,3.9,-3.6,0.3,0.1
1998-99,29,NJN,NBA,PG,4,100,23.7,.575,.143,.633,1.0,5.8,3.3,38.6,1.6,0.0,16.1,32.9,,0.4,0.0,0.4,.194,,4.4,-5.3,-0.9,0.0
1998-99,29,MIL,NBA,PG,4,99,22.5,.525,.068,.432,4.9,6.0,5.5,31.5,3.3,0.0,13.3,29.1,,0.3,0.1,0.4,.179,,3.4,-2.0,1.4,0.1
1999-00,30,MIL,NBA,PG,81,2899,21.1,.551,.077,.380,2.8,9.3,6.1,41.1,1.8,0.2,16.4,25.0,,8.4,0.8,9.2,.152,,4.1,-2.3,1.8,2.7
2000-01,31,MIL,NBA,PG,76,2709,20.1,.542,.087,.285,1.9,10.1,6.1,36.4,1.7,0.2,14.7,24.9,,7.0,1.4,8.5,.150,,2.9,-1.9,1.1,2.1
2001-02,32,MIL,NBA,PG,74,2605,21.3,.545,.170,.274,2.5,10.9,6.9,34.3,1.8,0.3,11.7,27.3,,7.2,1.4,8.6,.158,,4.2,-1.9,2.3,2.8
2002-03,33,MIL,NBA,PG,78,2700,22.3,.565,.140,.385,2.5,12.4,7.4,29.6,1.7,0.4,11.5,26.5,,8.8,0.8,9.6,.171,,4.5,-2.0,2.6,3.1
2003-04 ★,34,MIN,NBA,PG,81,2838,22.8,.566,.146,.261,1.9,8.7,5.5,38.0,1.9,0.5,13.5,27.2,,8.8,3.3,12.1,.205,,5.3,-1.0,4.3,4.5
2004-05,35,MIN,NBA,PG,59,1522,18.6,.529,.150,.226,2.0,9.5,5.9,35.2,1.3,0.7,12.6,26.4,,2.8,1.0,3.8,.119,,2.5,-2.0,0.6,1.0
2005-06,36,LAC,NBA,PG,78,2653,18.5,.534,.171,.301,1.8,10.4,6.3,32.5,1.5,0.3,12.2,25.0,,4.8,2.8,7.6,.137,,2.8,-1.0,1.8,2.5
2006-07,37,LAC,NBA,PG,58,1407,17.1,.506,.174,.291,2.3,11.8,7.1,35.3,1.1,0.4,12.5,26.5,,1.7,1.0,2.8,.095,,1.4,-2.4,-0.9,0.4
2007-08,38,TOT,NBA,PG,55,1274,15.4,.517,.143,.271,1.6,10.8,6.2,31.5,1.5,0.4,14.0,25.1,,0.7,1.1,1.8,.067,,-0.2,-1.7,-1.9,0.0
2007-08,38,LAC,NBA,PG,38,975,16.8,.535,.134,.296,1.4,11.1,6.2,35.0,1.5,0.2,14.7,25.2,,0.8,0.6,1.4,.069,,0.8,-2.0,-1.3,0.2
2007-08,38,BOS,NBA,PG,17,299,11.0,.461,.169,.192,2.1,9.8,6.2,19.9,1.6,0.8,11.9,24.9,,-0.1,0.5,0.4,.061,,-3.4,-0.6,-4.0,-0.1
Career,,,NBA,,993,29812,19.5,.544,.162,.330,2.4,9.9,6.2,34.4,1.9,0.4,14.4,25.7,,66.0,21.5,87.5,.141,,3.0,-1.6,1.4,25.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,MIL,NBA,,313,11012,21.2,.551,.119,.332,2.5,10.6,6.6,35.4,1.8,0.3,13.6,25.9,,31.8,4.4,36.2,.158,,3.9,-2.0,1.9,10.8
3 seasons,,HOU,NBA,,209,4686,15.5,.548,.298,.394,2.9,9.7,6.4,28.9,2.2,0.4,17.9,22.4,,5.8,5.0,10.7,.110,,0.5,-1.1,-0.6,1.7
3 seasons,,LAC,NBA,,174,5035,17.8,.526,.165,.297,1.9,10.9,6.5,33.7,1.4,0.3,12.8,25.4,,7.3,4.4,11.7,.112,,2.0,-1.6,0.4,3.1
2 seasons,,MIN,NBA,,140,4360,21.4,.553,.148,.248,1.9,9.0,5.6,37.0,1.7,0.5,13.2,26.9,,11.6,4.3,15.9,.175,,4.3,-1.3,3.0,5.5
3 seasons,,NJN,NBA,,102,3483,20.8,.537,.131,.389,2.9,7.7,5.2,39.2,2.4,0.6,15.8,27.4,,8.7,2.2,10.9,.150,,4.2,-1.7,2.6,4.0
1 season,,PHO,NBA,,22,539,18.3,.550,.257,.515,2.6,8.2,5.4,30.3,2.2,0.8,16.9,29.7,,0.8,0.4,1.2,.103,,1.8,-2.0,-0.2,0.2
1 season,,BOS,NBA,,17,299,11.0,.461,.169,.192,2.1,9.8,6.2,19.9,1.6,0.8,11.9,24.9,,-0.1,0.5,0.4,.061,,-3.4,-0.6,-4.0,-0.1
1 season,,DAL,NBA,,16,398,15.8,.527,.297,.303,4.0,10.7,7.3,26.8,2.3,1.2,18.0,26.3,,0.2,0.3,0.5,.062,,0.6,-0.8,-0.1,0.2
