
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1999-00,20,CHH,NBA,PG,82,1523,12.9,.486,.256,.353,3.6,8.4,6.1,32.6,3.3,0.9,21.9,18.9,,-0.1,2.2,2.1,.065,,-1.1,0.0,-1.1,0.3
2000-01,21,CHH,NBA,PG,82,3192,16.6,.512,.286,.352,4.6,9.9,7.3,32.5,2.9,0.8,17.0,19.2,,4.2,4.7,8.9,.134,,2.2,1.1,3.3,4.3
2001-02 ★,22,CHH,NBA,PG,82,3318,18.2,.498,.356,.252,3.2,8.8,6.0,37.3,2.8,1.0,14.2,23.9,,4.4,3.8,8.2,.118,,4.1,0.1,4.2,5.2
2002-03,23,NOH,NBA,PG,50,1889,16.9,.500,.355,.164,3.4,8.1,5.7,30.5,2.6,0.8,14.1,24.0,,2.2,2.2,4.5,.113,,3.0,-0.3,2.7,2.2
2003-04 ★,24,NOH,NBA,PG,67,2686,20.7,.492,.415,.251,2.7,9.6,6.1,37.9,3.2,0.8,12.1,30.1,,4.3,3.2,7.5,.133,,5.9,-0.2,5.6,5.2
2004-05,25,TOT,NBA,PG,46,1581,20.8,.515,.471,.323,2.2,10.6,6.2,42.0,2.7,0.7,13.2,28.2,,2.8,1.5,4.4,.132,,5.8,-1.0,4.7,2.7
2004-05,25,NOH,NBA,PG,18,593,21.4,.492,.452,.317,3.1,10.6,6.7,44.0,2.9,0.5,9.9,30.0,,1.1,0.6,1.7,.138,,7.3,-0.9,6.4,1.2
2004-05,25,GSW,NBA,PG,28,988,20.4,.530,.483,.327,1.7,10.6,5.9,40.8,2.6,0.7,15.3,27.1,,1.7,0.9,2.6,.129,,4.9,-1.1,3.7,1.4
2005-06,26,GSW,NBA,PG,54,1971,18.3,.489,.376,.336,2.5,11.1,6.7,42.6,2.3,0.5,13.9,25.9,,2.4,2.0,4.4,.106,,3.6,-0.4,3.2,2.6
2006-07,27,GSW,NBA,PG,63,2221,21.0,.530,.272,.358,2.5,11.3,6.8,36.9,2.9,1.0,13.9,26.5,,4.1,2.3,6.4,.139,,3.5,0.0,3.4,3.1
2007-08,28,GSW,NBA,PG,82,3196,19.8,.523,.344,.278,3.1,10.1,6.4,29.7,2.9,1.0,11.9,25.6,,5.9,2.8,8.7,.131,,3.7,-0.1,3.6,4.5
2008-09,29,LAC,NBA,PG,65,2248,14.5,.460,.342,.219,2.3,10.2,6.1,38.1,2.5,1.2,15.5,25.2,,-0.9,1.5,0.6,.013,,0.5,-1.0,-0.5,0.9
2009-10,30,LAC,NBA,PG,75,2523,17.4,.501,.292,.287,2.4,9.9,6.1,39.6,2.6,1.3,15.6,24.3,,2.5,2.1,4.5,.086,,2.0,-0.5,1.5,2.3
2010-11,31,TOT,NBA,PG,58,1649,17.0,.506,.345,.189,2.5,8.6,5.5,41.2,2.4,1.3,16.3,24.4,,1.5,1.3,2.8,.081,,2.2,-1.5,0.7,1.1
2010-11,31,LAC,NBA,PG,43,1269,16.3,.492,.295,.202,2.7,8.3,5.5,39.9,2.5,1.4,16.0,23.5,,1.0,1.1,2.1,.079,,1.5,-1.1,0.4,0.8
2010-11,31,CLE,NBA,PG,15,380,19.3,.548,.489,.152,1.8,9.3,5.4,45.4,2.2,1.2,17.0,27.3,,0.5,0.2,0.7,.086,,4.5,-2.8,1.7,0.4
2011-12,32,NYK,NBA,PG,29,595,10.0,.457,.462,.130,2.5,8.4,5.4,36.2,2.9,0.4,28.1,20.4,,-0.7,0.8,0.2,.014,,-2.4,-0.9,-3.3,-0.2
Career,,,NBA,,835,28592,17.8,.502,.348,.275,3.0,9.7,6.3,36.3,2.8,0.9,14.7,24.6,,32.8,30.3,63.1,.106,,3.0,-0.2,2.7,34.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CHH,NBA,,246,8033,16.5,.501,.316,.303,3.9,9.2,6.5,34.5,2.9,0.9,16.5,21.1,,8.5,10.7,19.2,.115,,2.4,0.5,2.9,9.8
4 seasons,,GSW,NBA,,227,8376,19.8,.518,.348,.318,2.6,10.7,6.5,35.9,2.7,0.8,13.3,26.1,,14.1,8.0,22.2,.127,,3.8,-0.3,3.5,11.6
3 seasons,,LAC,NBA,,183,6040,16.1,.484,.312,.243,2.4,9.7,6.0,39.1,2.5,1.2,15.6,24.5,,2.6,4.6,7.2,.057,,1.3,-0.8,0.5,3.9
3 seasons,,NOH,NBA,,135,5168,19.4,.495,.400,.231,3.0,9.2,6.0,35.9,2.9,0.8,12.5,27.9,,7.7,5.9,13.6,.127,,5.0,-0.3,4.7,8.7
1 season,,NYK,NBA,,29,595,10.0,.457,.462,.130,2.5,8.4,5.4,36.2,2.9,0.4,28.1,20.4,,-0.7,0.8,0.2,.014,,-2.4,-0.9,-3.3,-0.2
1 season,,CLE,NBA,,15,380,19.3,.548,.489,.152,1.8,9.3,5.4,45.4,2.2,1.2,17.0,27.3,,0.5,0.2,0.7,.086,,4.5,-2.8,1.7,0.4
