
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1999-00,22,HOU,NBA,PG,77,2776,18.4,.543,.278,.327,6.3,10.2,8.3,31.6,2.2,0.7,19.3,25.0,,4.4,2.0,6.4,.111,,3.5,-0.2,3.4,3.7
2000-01,23,HOU,NBA,PG,80,3194,21.6,.563,.276,.359,7.1,12.8,10.0,28.4,2.3,0.7,15.8,24.2,,9.2,3.0,12.2,.184,,5.8,0.8,6.6,7.0
2001-02 ★,24,HOU,NBA,PG,57,2343,19.1,.517,.209,.419,4.9,14.8,9.8,29.1,1.6,0.7,15.6,28.0,,3.2,1.2,4.4,.091,,3.2,-0.3,2.9,2.9
2002-03 ★,25,HOU,NBA,PG,81,3318,20.6,.541,.183,.454,5.7,11.5,8.7,28.0,2.3,0.9,16.0,26.1,,7.4,3.7,11.1,.160,,4.1,0.8,4.9,5.8
2003-04 ★,26,HOU,NBA,PG,79,3194,15.8,.501,.224,.389,4.5,11.1,8.0,28.3,2.4,0.8,18.3,24.0,,2.4,4.7,7.1,.107,,1.0,1.5,2.5,3.6
2004-05,27,ORL,NBA,PG,78,2978,18.9,.521,.095,.456,4.8,12.0,8.5,31.6,1.9,0.7,16.6,28.0,,3.9,2.3,6.2,.100,,2.4,-0.2,2.2,3.2
2005-06,28,TOT,NBA,PG-SG,70,2393,15.2,.534,.108,.522,3.9,10.9,7.5,24.6,1.7,0.6,18.5,22.6,,2.2,1.4,3.6,.073,,0.6,-0.5,0.1,1.2
2005-06,28,ORL,NBA,PG,46,1734,15.9,.532,.122,.504,4.4,11.0,7.8,25.7,1.6,0.5,18.2,23.4,,1.7,1.2,2.9,.081,,1.1,-0.3,0.7,1.2
2005-06,28,NYK,NBA,SG,24,659,13.4,.542,.068,.574,2.6,10.6,6.5,21.7,1.8,0.7,19.6,20.4,,0.4,0.2,0.7,.050,,-0.8,-0.9,-1.7,0.0
2006-07,29,NYK,NBA,SG,44,1237,15.1,.570,.324,.615,3.2,11.8,7.5,22.4,1.8,0.8,18.7,19.7,,2.0,0.9,2.9,.113,,1.1,-0.5,0.7,0.8
2007-08,30,HOU,NBA,PG,10,199,9.1,.410,.298,.404,4.6,8.4,6.5,22.7,2.4,1.8,17.3,18.6,,-0.2,0.3,0.2,.039,,-3.5,1.5,-2.0,0.0
Career,,,NBA,,576,21632,18.3,.533,.204,.423,5.2,11.8,8.6,28.4,2.1,0.7,17.2,25.0,,34.5,19.6,54.1,.120,,2.9,0.3,3.2,28.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,HOU,NBA,,384,15024,19.0,.533,.234,.391,5.7,11.9,8.9,28.9,2.2,0.8,17.0,25.2,,26.4,15.0,41.4,.132,,3.5,0.6,4.1,22.9
2 seasons,,ORL,NBA,,124,4712,17.8,.524,.103,.470,4.7,11.6,8.2,29.4,1.8,0.6,17.1,26.4,,5.6,3.5,9.1,.093,,1.9,-0.2,1.7,4.4
2 seasons,,NYK,NBA,,68,1896,14.5,.560,.233,.600,3.0,11.4,7.2,22.2,1.8,0.8,19.0,19.9,,2.5,1.1,3.6,.091,,0.5,-0.6,-0.1,0.9
