
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1993-94,22,ORL,NBA,PG,82,3015,17.4,.531,.171,.302,7.2,9.1,8.2,26.6,3.2,1.1,19.1,21.7,,3.8,3.3,7.1,.112,,2.4,1.4,3.9,4.5
1994-95 ★,23,ORL,NBA,PG,77,2901,20.8,.599,.218,.405,5.7,7.5,6.6,28.5,2.3,0.6,16.1,23.7,,8.2,2.5,10.7,.177,,4.9,-0.7,4.2,4.5
1995-96 ★,24,ORL,NBA,PG,82,3015,24.6,.605,.233,.477,5.1,8.5,6.8,32.2,2.9,1.0,13.5,25.5,,11.0,3.4,14.4,.229,,6.4,0.0,6.4,6.4
1996-97 ★,25,ORL,NBA,PG,59,2221,21.4,.554,.284,.367,4.2,9.8,6.9,28.5,2.3,1.2,11.7,25.7,,5.8,2.2,8.1,.175,,4.7,0.0,4.7,3.8
1997-98 ★,26,ORL,NBA,SG,19,625,15.9,.479,.183,.432,1.5,13.1,7.2,20.4,2.5,1.7,12.4,27.2,,0.3,0.8,1.1,.085,,-0.2,0.3,0.2,0.3
1998-99,27,ORL,NBA,SG,50,1944,16.7,.488,.195,.294,4.3,12.8,8.5,25.1,3.1,0.9,15.6,22.4,,1.6,3.4,5.0,.122,,1.3,2.3,3.6,2.8
1999-00,28,PHO,NBA,SG,60,2253,17.9,.549,.128,.358,4.6,12.4,8.6,22.8,2.1,1.2,14.2,21.1,,4.2,3.6,7.8,.165,,1.8,1.7,3.6,3.2
2000-01,29,PHO,NBA,SG,4,112,16.6,.477,.222,.306,5.0,13.4,9.1,22.0,2.8,0.6,6.8,17.5,,0.2,0.2,0.4,.155,,0.6,1.2,1.9,0.1
2001-02,30,PHO,NBA,SG,80,2462,13.9,.472,.089,.209,4.4,11.7,8.0,21.1,2.6,0.9,15.7,21.9,,0.1,2.8,2.9,.056,,-1.2,1.1,0.0,1.2
2002-03,31,PHO,NBA,SG,58,1777,13.0,.499,.127,.169,4.2,12.3,8.2,21.5,1.9,1.1,19.1,19.2,,0.4,1.9,2.3,.062,,-1.0,1.0,0.0,0.9
2003-04,32,TOT,NBA,SG,76,2095,11.8,.472,.116,.203,3.8,11.9,7.9,13.9,1.8,0.7,12.6,18.6,,0.6,1.4,2.0,.046,,-1.6,-0.3,-1.9,0.0
2003-04,32,PHO,NBA,SG,34,876,13.2,.506,.129,.181,3.5,9.3,6.4,18.1,1.7,0.7,12.6,17.2,,1.0,0.3,1.3,.069,,-0.5,-1.1,-1.6,0.1
2003-04,32,NYK,NBA,SG,42,1219,10.8,.451,.108,.218,4.0,13.7,9.0,10.9,1.8,0.7,12.7,19.5,,-0.4,1.1,0.7,.029,,-2.4,0.3,-2.1,0.0
2004-05,33,NYK,NBA,SF,37,894,9.0,.480,.192,.177,2.5,9.3,5.8,13.2,1.7,0.3,15.1,16.9,,-0.2,0.4,0.2,.009,,-2.5,-0.8,-3.3,-0.3
2005-06,34,NYK,NBA,SF,4,72,2.0,.336,.071,.143,0.0,17.1,8.4,17.0,1.5,0.0,28.7,13.1,,-0.2,0.0,-0.2,-0.101,,-7.5,-0.3,-7.8,-0.1
2007-08,36,MIA,NBA,SF,16,325,9.0,.469,.317,.150,1.1,12.0,6.5,16.8,3.1,0.2,16.9,11.2,,-0.1,0.3,0.2,.036,,-3.5,0.8,-2.7,-0.1
Career,,,NBA,,704,23711,17.4,.535,.182,.324,4.7,10.5,7.6,24.3,2.5,0.9,15.2,22.1,,35.7,26.2,61.9,.125,,1.9,0.6,2.6,27.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,ORL,NBA,,369,13721,20.2,.559,.219,.380,5.3,9.5,7.3,28.0,2.7,1.0,15.1,23.9,,30.8,15.5,46.3,.162,,3.9,0.5,4.4,22.3
5 seasons,,PHO,NBA,,236,7480,14.9,.506,.115,.245,4.3,11.8,8.1,21.4,2.2,1.0,15.5,20.4,,5.8,8.8,14.6,.094,,-0.1,1.0,0.9,5.5
3 seasons,,NYK,NBA,,83,2185,9.8,.459,.139,.201,3.3,12.0,7.7,12.1,1.8,0.5,14.0,18.2,,-0.8,1.5,0.7,.016,,-2.6,-0.2,-2.8,-0.4
1 season,,MIA,NBA,,16,325,9.0,.469,.317,.150,1.1,12.0,6.5,16.8,3.1,0.2,16.9,11.2,,-0.1,0.3,0.2,.036,,-3.5,0.8,-2.7,-0.1
