
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1989-90,23,GSW,NBA,PG,79,2663,16.0,.525,.085,.280,2.4,9.6,6.2,36.4,2.8,0.2,19.0,20.5,,1.9,1.4,3.3,.060,,1.0,-1.1,-0.1,1.3
1990-91 ★,24,GSW,NBA,PG,82,3215,20.9,.547,.162,.246,3.0,8.4,5.7,36.8,3.1,0.2,13.6,24.7,,7.4,2.5,9.9,.148,,4.7,-0.7,4.0,4.9
1991-92 ★,25,GSW,NBA,PG,81,3332,19.1,.537,.236,.244,2.7,7.4,5.1,33.3,2.3,0.2,13.2,24.4,,7.2,2.0,9.2,.132,,4.1,-1.5,2.6,3.9
1992-93 ★,26,GSW,NBA,PG,66,2609,19.7,.534,.265,.314,2.6,8.7,5.6,39.8,2.1,0.3,14.2,24.3,,5.9,1.6,7.5,.138,,4.5,-1.7,2.8,3.2
1994-95,28,GSW,NBA,PG,62,2321,18.3,.550,.441,.286,2.2,6.9,4.5,40.0,1.9,0.4,15.9,24.5,,4.4,0.7,5.1,.105,,4.2,-2.7,1.5,2.1
1995-96,29,TOT,NBA,PG,80,2534,18.7,.540,.382,.307,1.6,8.8,5.2,42.8,2.7,0.5,17.3,23.8,,4.7,2.6,7.3,.139,,3.6,-1.4,2.1,2.7
1995-96,29,GSW,NBA,PG,52,1487,18.5,.536,.383,.300,1.7,8.5,5.1,40.2,2.6,0.5,15.4,23.8,,3.0,1.0,3.9,.127,,3.7,-2.2,1.5,1.3
1995-96,29,MIA,NBA,PG,28,1047,19.1,.548,.381,.319,1.5,9.2,5.5,46.4,2.9,0.4,20.0,23.9,,1.8,1.6,3.4,.154,,3.3,-0.2,3.1,1.3
1996-97 ★,30,MIA,NBA,PG,81,3136,20.8,.532,.426,.263,1.9,8.5,5.2,41.9,2.6,0.2,13.0,26.6,,7.9,5.0,12.9,.198,,5.3,-0.2,5.1,5.6
1997-98 ★,31,MIA,NBA,PG,81,3031,20.6,.530,.341,.254,1.9,9.4,5.8,41.3,2.4,0.4,13.5,25.6,,7.9,3.8,11.7,.185,,5.1,-0.5,4.6,5.1
1998-99,32,MIA,NBA,PG,48,1772,18.8,.511,.414,.198,1.1,8.7,5.2,39.6,1.8,0.3,13.8,26.5,,3.4,1.9,5.4,.146,,4.5,-1.6,3.0,2.2
1999-00,33,MIA,NBA,PG,52,1672,16.4,.500,.401,.208,1.8,8.3,5.2,38.2,1.6,0.2,14.6,22.8,,2.6,1.6,4.3,.123,,2.6,-2.1,0.5,1.0
2000-01,34,MIA,NBA,PG,77,2613,16.7,.513,.496,.174,1.2,8.1,4.6,35.5,1.9,0.2,14.4,24.3,,3.1,3.3,6.4,.118,,3.2,-1.5,1.7,2.4
2001-02,35,TOT,NBA,PG,68,1601,13.6,.492,.571,.156,1.0,7.7,4.3,27.0,1.9,0.4,14.3,21.8,,1.2,0.6,1.8,.053,,1.5,-2.9,-1.5,0.2
2001-02,35,DAL,NBA,PG,54,1276,13.4,.490,.565,.158,1.2,7.2,4.2,23.7,1.6,0.4,12.1,21.3,,1.2,0.4,1.6,.059,,1.6,-2.9,-1.3,0.2
2001-02,35,DEN,NBA,PG,14,325,14.2,.499,.595,.151,0.3,9.6,4.7,40.1,2.8,0.5,22.0,23.7,,0.0,0.2,0.2,.029,,0.9,-2.9,-2.0,0.0
2002-03,36,IND,NBA,PG,10,127,14.7,.483,.633,.082,0.9,12.1,6.6,32.1,3.7,0.0,17.8,22.0,,0.0,0.2,0.2,.081,,1.0,-0.8,0.2,0.1
Career,,,NBA,,867,30626,18.6,.530,.332,.250,2.0,8.4,5.3,37.9,2.3,0.3,14.6,24.3,,57.7,27.2,85.0,.133,,3.8,-1.4,2.5,34.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,GSW,NBA,,422,15627,18.8,.539,.246,.273,2.5,8.2,5.4,37.3,2.5,0.3,14.9,23.7,,29.8,9.2,38.9,.120,,3.8,-1.6,2.2,16.5
6 seasons,,MIA,NBA,,367,13271,19.0,.523,.412,.233,1.6,8.7,5.2,40.1,2.2,0.3,14.2,25.2,,26.8,17.3,44.1,.159,,4.2,-0.9,3.3,17.8
1 season,,DAL,NBA,,54,1276,13.4,.490,.565,.158,1.2,7.2,4.2,23.7,1.6,0.4,12.1,21.3,,1.2,0.4,1.6,.059,,1.6,-2.9,-1.3,0.2
1 season,,DEN,NBA,,14,325,14.2,.499,.595,.151,0.3,9.6,4.7,40.1,2.8,0.5,22.0,23.7,,0.0,0.2,0.2,.029,,0.9,-2.9,-2.0,0.0
1 season,,IND,NBA,,10,127,14.7,.483,.633,.082,0.9,12.1,6.6,32.1,3.7,0.0,17.8,22.0,,0.0,0.2,0.2,.081,,1.0,-0.8,0.2,0.1
