
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1986-87,23,CLE,NBA,SG,82,3064,17.2,.503,.058,.349,6.0,7.8,6.9,21.1,3.2,1.5,15.6,28.9,,-0.1,4.4,4.2,.066,,0.8,1.1,2.0,3.1
1987-88,24,CLE,NBA,SG,57,1830,16.6,.514,.027,.380,4.2,10.0,7.2,23.6,3.3,1.7,15.6,23.6,,0.8,2.7,3.5,.092,,0.3,1.8,2.1,1.9
1988-89,25,CLE,NBA,SG,82,2851,19.8,.570,.101,.374,5.1,10.8,8.1,22.7,3.2,1.5,14.7,23.4,,5.1,5.1,10.2,.171,,2.9,2.3,5.2,5.2
1989-90,26,TOT,NBA,SG,35,1367,20.2,.540,.080,.363,6.2,10.9,8.6,21.9,2.9,1.8,11.9,25.8,,2.2,1.7,3.9,.138,,3.1,1.3,4.3,2.2
1989-90,26,CLE,NBA,SG,7,262,21.3,.493,.036,.297,8.1,12.5,10.3,32.5,2.7,2.1,10.3,28.7,,0.4,0.4,0.8,.138,,3.2,1.7,5.0,0.5
1989-90,26,LAC,NBA,SG,28,1105,20.0,.553,.092,.381,5.8,10.5,8.2,19.4,2.9,1.7,12.3,25.1,,1.8,1.4,3.2,.138,,3.0,1.2,4.2,1.7
1990-91,27,LAC,NBA,SG,39,1383,14.5,.463,.203,.298,4.4,10.3,7.3,23.2,2.3,1.5,13.5,28.0,,-0.8,1.6,0.9,.030,,0.3,0.4,0.7,1.0
1991-92,28,LAC,NBA,SG,82,3144,15.4,.510,.163,.308,4.2,11.6,7.9,20.0,2.4,1.4,14.7,23.3,,1.1,4.4,5.6,.085,,0.6,1.7,2.4,3.4
1992-93,29,LAC,NBA,SG,80,2970,16.1,.523,.155,.332,4.3,11.6,7.9,17.0,2.9,1.6,13.9,22.2,,2.3,3.7,6.0,.097,,0.9,1.4,2.3,3.3
1993-94,30,LAC,NBA,SG,75,2856,15.7,.496,.177,.313,4.8,12.2,8.6,18.7,2.4,1.1,13.7,25.5,,0.7,2.3,2.9,.049,,0.5,0.2,0.7,1.9
1994-95,31,CHI,NBA,SG,77,1536,12.2,.483,.224,.267,3.9,9.9,6.9,15.3,3.3,1.3,15.4,18.8,,-0.2,2.6,2.4,.073,,-2.1,1.4,-0.7,0.5
1995-96,32,CHI,NBA,PG,80,1886,14.4,.528,.208,.277,4.6,8.6,6.6,15.5,2.9,1.3,11.5,14.9,,3.0,3.3,6.3,.161,,0.5,2.1,2.6,2.2
1996-97,33,CHI,NBA,SG,76,1740,13.6,.543,.463,.202,3.0,9.4,6.3,15.1,2.6,1.6,10.2,12.6,,3.0,2.7,5.7,.157,,1.0,1.7,2.7,2.1
1997-98,34,CHI,NBA,PG,82,2284,14.7,.503,.126,.325,5.3,9.2,7.3,16.4,2.5,1.5,10.7,16.7,,3.4,3.7,7.2,.151,,0.4,1.9,2.3,2.5
1998-99,35,CHI,NBA,SG,35,1107,14.7,.451,.218,.259,5.0,14.7,9.6,20.6,3.0,2.4,13.0,21.2,,-0.2,1.4,1.2,.053,,-0.9,1.9,1.0,0.9
1999-00,36,LAL,NBA,PG,80,2042,12.0,.468,.200,.277,5.1,12.5,8.8,19.2,2.1,1.3,18.1,15.6,,0.4,3.5,4.0,.093,,-1.4,2.1,0.7,1.4
2000-01,37,LAL,NBA,PG,47,1139,12.5,.525,.266,.177,4.6,11.8,8.2,14.8,1.8,1.5,17.5,13.9,,1.0,0.8,1.8,.077,,-0.4,0.2,-0.2,0.5
Career,,,NBA,,1009,31199,15.6,.511,.152,.318,4.8,10.6,7.7,19.1,2.8,1.5,14.2,21.5,,21.7,44.1,65.8,.101,,0.6,1.5,2.1,32.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,CHI,NBA,,350,8553,14.0,.502,.233,.273,4.4,9.9,7.2,16.3,2.8,1.6,12.1,16.4,,9.0,13.8,22.7,.128,,-0.1,1.8,1.7,8.1
5 seasons,,LAC,NBA,,304,11458,16.0,.507,.164,.321,4.6,11.5,8.0,19.2,2.6,1.4,13.8,24.3,,5.2,13.4,18.6,.078,,0.9,1.1,1.9,11.3
4 seasons,,CLE,NBA,,228,8007,18.1,.526,.065,.361,5.3,9.5,7.5,22.6,3.2,1.6,15.1,25.7,,6.1,12.5,18.7,.112,,1.5,1.7,3.3,10.7
2 seasons,,LAL,NBA,,127,3181,12.2,.487,.222,.243,4.9,12.2,8.6,17.6,2.0,1.4,17.9,15.0,,1.4,4.4,5.8,.087,,-1.0,1.4,0.4,1.9
