
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1987-88,22,NYK,NBA,PG,82,3249,15.7,.493,.124,.263,4.1,10.0,7.0,37.4,3.1,0.1,18.6,17.3,,3.5,4.2,7.6,.113,,1.5,1.2,2.8,3.9
1988-89 ★,23,NYK,NBA,PG,72,2477,18.3,.535,.234,.252,4.6,10.8,7.7,33.7,2.6,0.2,16.6,21.3,,4.8,2.5,7.2,.140,,3.2,0.1,3.3,3.3
1989-90,24,NYK,NBA,PG,82,2428,14.3,.492,.175,.220,5.0,9.4,7.3,34.0,2.2,0.1,20.4,17.7,,1.6,2.1,3.7,.074,,0.2,-0.5,-0.3,1.0
1990-91,25,NYK,NBA,PG,72,1595,18.2,.545,.100,.315,4.6,9.5,7.1,42.2,1.9,0.3,18.9,19.5,,2.7,1.5,4.2,.126,,1.7,-1.4,0.4,1.0
1991-92,26,NYK,NBA,PG,81,2461,17.8,.542,.058,.297,4.5,9.7,7.1,41.2,2.4,0.3,20.0,18.7,,4.1,3.5,7.6,.149,,1.6,0.5,2.2,2.6
1992-93,27,LAC,NBA,PG,82,3117,16.6,.548,.087,.317,4.5,9.3,6.9,31.1,2.1,0.2,17.0,17.1,,5.3,2.7,7.9,.122,,1.8,-0.1,1.7,2.9
1993-94,28,LAC,NBA,PG,79,2711,14.8,.524,.173,.288,4.2,9.4,6.8,34.6,2.1,0.1,22.0,16.1,,2.7,1.4,4.1,.072,,0.3,-1.0,-0.7,0.9
1994-95,29,IND,NBA,PG,82,2402,14.0,.493,.154,.270,3.7,11.5,7.7,39.2,2.3,0.5,24.9,16.1,,1.4,3.1,4.5,.090,,-0.4,0.5,0.0,1.2
1995-96,30,IND,NBA,PG,81,2643,15.9,.568,.238,.305,3.2,11.0,7.3,37.4,2.0,0.2,22.1,15.8,,4.6,2.6,7.2,.130,,2.1,-0.1,1.9,2.6
1996-97,31,TOT,NBA,PG,82,3054,15.7,.525,.262,.314,3.5,11.4,7.5,48.2,1.7,0.3,26.2,15.5,,4.4,1.8,6.1,.097,,0.8,-1.7,-0.9,0.9
1996-97,31,DEN,NBA,PG,52,2001,16.2,.528,.268,.301,4.1,11.3,7.7,50.0,1.3,0.3,25.2,15.3,,3.6,0.5,4.0,.097,,1.2,-2.4,-1.3,0.4
1996-97,31,IND,NBA,PG,30,1053,14.8,.519,.251,.339,2.3,11.6,7.0,44.8,2.4,0.2,28.1,15.9,,0.8,1.3,2.1,.096,,0.1,-0.2,-0.1,0.5
1997-98,32,IND,NBA,PG,82,2413,17.2,.501,.229,.301,3.5,12.1,8.0,46.7,1.9,0.1,20.4,16.8,,4.4,3.1,7.5,.150,,1.8,-0.1,1.7,2.3
1998-99,33,IND,NBA,PG,49,1382,17.9,.513,.313,.240,2.9,12.7,7.9,45.4,1.7,0.2,21.4,16.0,,3.0,0.9,3.8,.134,,2.8,-1.3,1.5,1.2
