
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1987-88,21,TOT,NBA,PG,80,1917,15.5,.531,.040,.354,2.1,9.2,5.7,31.4,2.6,0.7,17.5,18.2,,2.2,1.9,4.0,.101,,-0.2,-0.5,-0.7,0.6
1987-88,21,CLE,NBA,PG,52,1043,13.4,.527,.029,.360,1.2,6.8,4.1,26.4,2.8,1.0,18.5,18.1,,0.6,1.3,1.8,.085,,-1.6,-0.5,-2.1,0.0
1987-88,21,PHO,NBA,PG,28,874,18.0,.536,.053,.347,3.3,12.1,7.7,37.3,2.3,0.5,16.3,18.3,,1.6,0.6,2.2,.120,,1.6,-0.5,1.1,0.7
1988-89,22,PHO,NBA,PG,81,3179,20.5,.597,.020,.511,1.6,9.4,5.7,40.4,2.0,0.4,18.9,21.2,,8.6,3.5,12.2,.184,,3.7,-0.1,3.5,4.5
1989-90 ★,23,PHO,NBA,PG,74,2782,22.8,.585,.035,.516,1.8,8.4,5.3,44.4,1.6,0.3,15.6,25.0,,9.0,2.6,11.6,.200,,4.9,-1.2,3.7,4.0
1990-91 ★,24,PHO,NBA,PG,77,2772,23.7,.604,.038,.538,2.2,8.1,5.3,40.7,2.8,0.2,16.0,24.8,,9.5,3.3,12.7,.220,,5.6,-0.4,5.2,5.1
1991-92,25,PHO,NBA,PG,78,2899,19.9,.561,.041,.493,2.4,8.4,5.5,40.6,1.9,0.5,16.6,23.6,,7.0,2.9,10.0,.165,,3.2,-0.9,2.2,3.1
1992-93,26,PHO,NBA,PG,49,1643,18.1,.576,.014,.488,2.1,4.9,3.5,32.7,2.5,0.7,18.0,21.0,,3.5,1.6,5.1,.148,,1.4,-1.4,0.1,0.9
1993-94 ★,27,PHO,NBA,PG,67,2449,20.6,.566,.028,.473,2.6,5.1,3.8,38.5,2.5,0.3,16.6,24.3,,7.0,1.7,8.7,.170,,3.2,-2.3,0.9,1.8
1994-95,28,PHO,NBA,PG,47,1352,21.0,.561,.050,.553,2.7,7.1,4.9,40.1,1.7,1.0,13.9,24.2,,4.1,0.7,4.8,.169,,2.8,-2.3,0.4,0.8
1995-96,29,PHO,NBA,PG,56,2007,22.8,.617,.085,.591,2.5,10.2,6.4,41.5,2.1,0.5,16.7,22.6,,6.9,1.3,8.2,.195,,4.7,-1.4,3.3,2.7
1996-97,30,PHO,NBA,PG,70,2658,22.9,.631,.227,.579,2.4,8.7,5.6,39.3,2.0,0.3,16.3,22.6,,10.2,1.5,11.7,.211,,5.8,-1.5,4.2,4.2
1997-98,31,PHO,NBA,PG,50,1290,15.6,.555,.075,.536,3.2,11.4,7.4,28.5,1.1,0.4,19.1,18.6,,2.3,1.3,3.5,.131,,-0.2,-0.7,-0.9,0.3
1999-00,33,PHO,NBA,PG,6,113,17.3,.644,.036,.250,0.0,15.5,7.9,33.2,0.9,0.0,18.4,14.8,,0.3,0.1,0.5,.195,,-0.5,-1.4,-1.9,0.0
Career,,,NBA,,735,25061,20.7,.585,.057,.512,2.2,8.3,5.4,38.8,2.1,0.4,16.7,22.6,,70.4,22.3,92.8,.178,,3.5,-1.1,2.4,28.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 seasons,,PHO,NBA,,683,24018,21.0,.587,.058,.517,2.3,8.4,5.4,39.4,2.1,0.4,16.7,22.8,,69.8,21.1,90.9,.182,,3.7,-1.1,2.6,28.0
1 season,,CLE,NBA,,52,1043,13.4,.527,.029,.360,1.2,6.8,4.1,26.4,2.8,1.0,18.5,18.1,,0.6,1.3,1.8,.085,,-1.6,-0.5,-2.1,0.0
