
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1994-95,21,DAL,NBA,PG,79,2668,15.1,.471,.300,.321,5.8,11.9,8.7,33.2,2.9,0.6,20.4,19.0,,1.1,2.6,3.7,.066,,0.8,0.9,1.7,2.5
1995-96 ★,22,DAL,NBA,PG,81,3034,17.8,.468,.306,.256,6.5,13.3,9.6,41.5,2.9,0.6,18.6,24.3,,1.7,2.6,4.3,.068,,2.1,0.6,2.7,3.5
1996-97,23,TOT,NBA,PG,55,1964,16.9,.498,.312,.312,3.8,11.0,7.4,38.9,3.3,0.8,19.1,17.2,,2.3,2.0,4.4,.107,,1.4,0.7,2.1,2.0
1996-97,23,DAL,NBA,PG,22,791,15.1,.465,.320,.340,4.3,8.9,6.6,41.1,3.1,0.8,22.0,17.4,,0.3,0.7,1.1,.064,,0.1,-0.1,0.0,0.4
1996-97,23,PHO,NBA,PG,33,1173,18.0,.519,.307,.294,3.4,12.4,7.9,37.4,3.5,0.8,17.1,17.1,,2.0,1.3,3.3,.136,,2.3,1.2,3.6,1.6
1997-98 ★,24,PHO,NBA,PG,82,3118,16.4,.502,.271,.243,4.1,14.7,9.5,35.6,2.7,0.6,21.5,17.6,,3.2,4.8,8.0,.123,,1.1,2.0,3.1,4.0
1998-99,25,PHO,NBA,PG,50,2060,22.5,.527,.176,.342,4.8,14.5,9.6,44.0,3.0,0.7,15.7,21.4,,5.8,2.3,8.1,.188,,4.7,1.1,5.8,4.1
1999-00 ★,26,PHO,NBA,PG,67,2616,18.4,.498,.194,.287,4.2,16.1,10.3,40.1,2.6,0.8,19.0,20.0,,3.7,4.8,8.5,.156,,1.7,2.4,4.1,4.1
2000-01 ★,27,PHO,NBA,PG,77,3065,19.4,.510,.211,.367,3.3,15.2,9.1,41.2,2.8,0.5,18.3,22.7,,4.2,5.4,9.6,.150,,2.7,2.1,4.8,5.3
2001-02 ★,28,NJN,NBA,PG,82,3056,19.1,.484,.320,.217,4.7,17.2,10.9,42.5,3.0,0.5,18.7,22.5,,3.1,5.8,8.9,.140,,2.8,2.2,5.1,5.4
2002-03 ★,29,NJN,NBA,PG,80,2989,22.2,.526,.297,.324,4.2,15.1,9.6,42.2,3.1,0.6,17.2,25.9,,5.5,5.8,11.3,.182,,4.9,2.0,6.9,6.7
2003-04 ★,30,NJN,NBA,PG,67,2450,19.7,.485,.306,.260,4.1,16.5,10.3,44.8,2.7,0.4,16.7,24.6,,2.8,4.4,7.2,.141,,3.1,1.5,4.5,4.1
2004-05,31,NJN,NBA,PG,66,2435,19.5,.506,.419,.225,4.6,19.8,12.1,40.6,2.7,0.3,15.1,21.3,,3.1,4.2,7.2,.143,,3.6,2.0,5.6,4.6
2005-06,32,NJN,NBA,PG,80,2975,19.2,.526,.436,.270,3.3,19.8,11.4,39.0,2.7,0.8,15.9,19.1,,4.5,5.6,10.1,.163,,2.7,2.8,5.5,5.6
2006-07 ★,33,NJN,NBA,PG,80,2933,19.4,.516,.398,.253,5.5,20.8,13.2,41.4,2.3,0.6,17.4,19.4,,5.1,4.1,9.3,.152,,3.0,2.0,5.0,5.2
2007-08 ★,34,TOT,NBA,PG,80,2906,16.7,.499,.393,.208,3.8,20.0,12.0,44.0,2.5,0.7,23.5,17.9,,2.0,3.8,5.9,.097,,1.2,1.6,2.8,3.5
2007-08 ★,34,NJN,NBA,PG,51,1895,15.7,.483,.430,.202,3.5,21.7,12.6,45.5,2.0,0.6,23.6,18.9,,0.4,2.1,2.5,.064,,0.5,1.0,1.5,1.7
2007-08 ★,34,DAL,NBA,PG,29,1011,18.4,.536,.311,.221,4.3,16.8,10.7,41.1,3.3,0.8,23.2,16.1,,1.6,1.7,3.3,.157,,2.4,2.6,5.1,1.8
2008-09,35,DAL,NBA,PG,81,2886,16.9,.550,.523,.170,3.4,16.4,9.9,34.7,2.9,1.0,21.8,13.5,,4.6,3.9,8.5,.141,,2.3,2.3,4.5,4.7
2009-10 ★,36,DAL,NBA,PG,80,2881,17.2,.577,.617,.148,1.9,15.6,8.9,36.4,2.6,0.9,21.4,14.5,,4.8,4.0,8.9,.148,,2.7,1.6,4.3,4.6
2010-11,37,DAL,NBA,PG,80,2653,14.4,.500,.656,.129,1.6,13.4,7.7,35.4,2.7,0.8,22.1,14.3,,2.5,3.9,6.4,.116,,1.0,2.1,3.1,3.4
2011-12,38,DAL,NBA,PG,48,1379,13.1,.524,.817,.103,1.2,14.8,8.1,28.4,3.1,0.6,24.2,12.7,,0.9,2.1,3.0,.104,,0.4,2.1,2.5,1.5
