
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1982-83,22,POR,NBA,PG,81,2020,14.8,.477,.025,.268,4.7,7.8,6.2,28.2,3.6,0.4,17.1,16.1,,1.7,2.6,4.4,.104,,0.3,1.0,1.2,1.7
1983-84,23,POR,NBA,PG,81,2010,15.8,.495,.021,.305,5.5,7.4,6.4,24.3,3.2,0.9,13.6,18.4,,2.5,2.2,4.8,.114,,0.9,0.5,1.5,1.8
1984-85,24,DEN,NBA,PG,82,2559,16.7,.479,.024,.260,5.8,11.7,8.6,29.5,3.5,0.7,15.6,19.2,,2.1,3.2,5.2,.098,,1.0,1.4,2.3,2.8
1985-86,25,DEN,NBA,PG,78,2616,15.7,.473,.036,.172,5.2,11.9,8.4,29.4,3.1,0.3,15.5,19.9,,0.9,3.6,4.5,.082,,0.4,1.5,2.0,2.6
1986-87,26,DEN,NBA,PG,82,3054,20.8,.515,.067,.228,7.0,18.8,12.5,29.1,3.0,0.6,10.0,21.1,,6.0,3.8,9.7,.153,,3.6,2.0,5.6,5.9
1987-88 ★,27,DEN,NBA,SG,82,3061,20.5,.516,.042,.232,6.7,16.5,11.4,28.1,3.3,0.4,10.8,21.4,,5.5,4.9,10.4,.163,,3.3,2.8,6.1,6.2
1988-89,28,DEN,NBA,SG,71,2745,20.6,.513,.054,.282,6.7,18.9,12.4,26.9,3.2,0.4,10.3,21.3,,5.1,4.2,9.2,.161,,3.2,2.5,5.7,5.3
1989-90 ★,29,DEN,NBA,SG,79,2832,19.9,.504,.068,.263,8.0,19.8,13.6,24.8,2.7,0.3,9.8,21.9,,4.6,4.2,8.8,.149,,2.9,2.7,5.6,5.4
1990-91,30,DAL,NBA,SG,4,86,13.5,.497,.130,.609,4.0,15.9,9.9,19.5,3.6,2.2,25.5,20.2,,-0.1,0.1,0.0,.014,,-3.9,2.3,-1.6,0.0
1991-92,31,DAL,NBA,SG,31,884,14.9,.452,.149,.229,6.5,13.1,9.7,19.0,2.6,0.8,8.6,20.4,,0.5,0.8,1.3,.070,,0.3,0.9,1.2,0.7
1993-94,33,DAL,NBA,PG,81,1947,13.2,.462,.133,.176,4.5,12.5,8.2,16.6,4.1,0.5,12.8,15.0,,0.7,2.1,2.9,.070,,-1.2,1.6,0.4,1.2
Career,,,NBA,,752,23814,17.8,.496,.055,.243,6.1,14.5,10.1,26.4,3.2,0.5,12.3,19.7,,29.4,31.7,61.2,.123,,1.8,1.8,3.6,33.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,DEN,NBA,,474,16867,19.1,.502,.050,.240,6.6,16.4,11.2,28.0,3.1,0.4,11.8,20.9,,24.1,23.8,47.9,.136,,2.5,2.2,4.6,28.3
2 seasons,,POR,NBA,,162,4030,15.3,.487,.023,.288,5.1,7.6,6.3,26.2,3.4,0.7,15.2,17.3,,4.3,4.9,9.2,.109,,0.6,0.8,1.4,3.4
3 seasons,,DAL,NBA,,116,2917,13.7,.459,.139,.207,5.1,12.7,8.7,17.4,3.7,0.7,11.7,16.8,,1.1,3.1,4.2,.069,,-0.8,1.4,0.6,1.9
