
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1979-80,22,MIL,NBA,SG,77,1557,15.9,.564,.002,.647,11.1,12.5,11.8,10.7,2.2,0.6,16.8,17.8,,2.8,2.0,4.9,.150,,0.9,0.7,1.7,1.4
1980-81,23,MIL,NBA,SG,80,2417,18.0,.614,.012,.539,8.8,9.8,9.3,14.1,1.7,0.9,13.7,17.2,,6.9,2.9,9.9,.196,,3.3,0.6,3.9,3.6
1981-82 ★,24,MIL,NBA,SG,80,2980,20.1,.601,.013,.539,8.8,11.6,10.3,18.1,2.2,0.4,13.7,21.0,,8.9,4.5,13.4,.216,,4.2,1.3,5.5,5.6
1982-83 ★,25,MIL,NBA,SG,76,2710,22.6,.602,.009,.522,8.2,9.5,8.9,16.9,2.0,0.5,12.2,24.7,,9.7,3.5,13.2,.233,,5.4,0.3,5.7,5.3
1983-84 ★,26,MIL,NBA,SG,79,3075,19.8,.591,.016,.555,8.3,11.1,9.8,17.1,1.7,0.5,13.4,22.2,,8.4,4.2,12.7,.198,,3.8,1.0,4.8,5.3
1984-85 ★,27,MIL,NBA,PG,73,2734,20.1,.565,.028,.472,6.1,9.8,7.9,20.1,2.1,0.8,11.6,23.6,,7.3,3.9,11.2,.197,,3.7,1.0,4.7,4.6
1985-86 ★,28,MIL,NBA,PG,73,2567,20.0,.604,.107,.603,5.0,9.4,7.3,19.2,1.9,0.4,12.5,21.8,,8.3,3.4,11.7,.219,,4.6,0.4,5.1,4.6
1986-87,29,MIL,NBA,SG,39,992,15.9,.582,.096,.500,6.3,7.9,7.1,17.1,1.3,0.6,13.7,18.9,,2.0,0.9,2.9,.142,,1.7,-0.5,1.1,0.8
1987-88,30,MIL,NBA,SG,56,1428,15.2,.569,.070,.441,4.6,9.6,7.1,20.4,1.4,0.6,14.0,18.2,,2.5,1.2,3.7,.123,,1.0,-0.3,0.6,1.0
1988-89,31,MIL,NBA,PG,62,1594,16.4,.591,.137,.445,3.3,9.3,6.2,16.9,2.0,0.5,12.9,19.0,,3.5,1.6,5.0,.151,,1.8,-0.3,1.5,1.4
1990-91,33,ATL,NBA,SG,72,1096,11.2,.589,.267,.438,3.0,10.0,6.4,12.8,2.2,0.5,18.7,13.3,,1.1,0.8,1.8,.079,,-0.6,-0.2,-0.8,0.3
Career,,,NBA,,767,23150,18.7,.591,.047,.527,7.1,10.2,8.6,17.0,1.9,0.6,13.3,20.6,,61.4,28.9,90.3,.187,,3.2,0.6,3.8,33.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,MIL,NBA,,695,22054,19.1,.591,.041,.530,7.3,10.2,8.7,17.2,1.9,0.6,13.1,21.0,,60.3,28.2,88.5,.193,,3.4,0.6,4.0,33.5
1 season,,ATL,NBA,,72,1096,11.2,.589,.267,.438,3.0,10.0,6.4,12.8,2.2,0.5,18.7,13.3,,1.1,0.8,1.8,.079,,-0.6,-0.2,-0.8,0.3
