
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1990-91,22,SEA,NBA,PG,82,2244,13.2,.476,.023,.169,5.7,7.3,6.5,30.8,3.7,0.4,22.6,14.9,,1.0,2.4,3.4,.073,,0.0,0.9,0.9,1.6
1991-92,23,SEA,NBA,PG,81,2549,13.1,.478,.031,.202,5.5,7.9,6.7,27.5,2.9,0.5,17.9,16.0,,1.6,2.3,3.9,.074,,0.3,0.7,1.0,1.9
1992-93,24,SEA,NBA,PG,82,2548,17.0,.529,.035,.204,4.3,8.7,6.4,22.7,3.5,0.6,12.4,19.8,,4.2,3.6,7.8,.147,,1.9,1.2,3.1,3.3
1993-94 ★,25,SEA,NBA,PG,82,2881,17.8,.526,.047,.241,4.3,6.8,5.5,26.7,3.3,0.5,11.9,21.6,,5.2,4.1,9.3,.155,,2.3,0.5,2.8,3.5
1994-95 ★,26,SEA,NBA,PG,82,3015,21.3,.564,.172,.259,4.3,6.7,5.5,31.8,3.4,0.3,11.8,24.4,,8.2,3.5,11.7,.187,,4.7,-0.2,4.5,5.0
1995-96 ★,27,SEA,NBA,PG,81,3162,19.6,.554,.234,.240,4.1,8.4,6.3,33.3,3.7,0.5,15.6,23.6,,5.9,5.6,11.5,.174,,3.3,1.4,4.7,5.3
1996-97 ★,28,SEA,NBA,PG,82,3213,21.8,.545,.256,.240,4.0,10.2,7.1,33.8,3.3,0.3,11.6,26.4,,8.2,4.7,12.9,.193,,5.1,0.5,5.6,6.2
1997-98 ★,29,SEA,NBA,PG,82,3145,21.6,.544,.311,.293,3.0,11.2,7.1,36.7,3.1,0.4,13.7,24.6,,8.5,4.0,12.5,.190,,4.9,0.1,5.0,5.6
1998-99,30,SEA,NBA,PG,50,2008,23.1,.519,.304,.299,3.5,10.6,7.0,41.3,2.9,0.4,12.9,27.1,,6.0,1.2,7.2,.172,,6.3,-0.9,5.4,3.8
1999-00 ★,31,SEA,NBA,PG,82,3425,23.6,.535,.312,.254,3.2,13.9,8.5,37.7,2.3,0.4,10.8,26.8,,10.5,3.5,13.9,.195,,6.7,0.1,6.8,7.6
2000-01 ★,32,SEA,NBA,PG,79,3244,22.1,.522,.171,.223,2.6,10.1,6.4,36.6,2.1,0.6,10.7,27.2,,9.1,1.7,10.8,.160,,5.4,-1.1,4.3,5.1
2001-02 ★,33,SEA,NBA,PG,82,3301,22.9,.526,.150,.212,2.9,11.1,7.1,39.4,2.1,0.6,10.8,27.2,,10.1,2.5,12.6,.183,,5.2,-0.6,4.6,5.5
2002-03 ★,34,TOT,NBA,PG,80,3208,21.1,.504,.124,.240,2.9,9.5,6.1,38.9,2.2,0.5,10.3,26.4,,7.0,2.1,9.1,.136,,4.2,-1.0,3.2,4.2
2002-03 ★,34,SEA,NBA,PG,52,2123,21.4,.495,.115,.236,3.1,10.8,6.9,41.6,2.4,0.4,10.7,27.1,,4.3,1.9,6.2,.140,,4.4,-0.1,4.3,3.4
2002-03 ★,34,MIL,NBA,PG,28,1085,20.5,.523,.143,.249,2.5,6.8,4.6,33.8,2.0,0.5,9.6,25.0,,2.8,0.1,2.9,.128,,3.9,-2.9,1.0,0.8
2003-04,35,LAL,NBA,PG,82,2825,17.3,.528,.161,.246,2.8,11.0,6.9,26.9,1.8,0.5,11.7,20.4,,5.3,2.7,8.1,.137,,2.3,-0.2,2.1,2.9
2004-05,36,BOS,NBA,PG,77,2541,15.1,.537,.178,.277,2.3,8.5,5.4,29.2,1.8,0.4,15.4,17.0,,3.8,1.6,5.4,.102,,1.0,-1.3,-0.3,1.1
2005-06,37,MIA,NBA,PG,81,2305,10.7,.520,.420,.230,1.8,9.7,5.9,16.7,1.6,0.3,14.5,14.1,,1.8,2.3,4.1,.085,,-0.3,0.1,-0.2,1.0
2006-07,38,MIA,NBA,PG,68,1503,9.0,.458,.336,.156,1.4,8.7,5.2,20.9,1.5,0.2,14.4,14.4,,0.1,1.2,1.3,.042,,-2.5,-1.0,-3.5,-0.6
Career,,,NBA,,1335,47117,18.9,.528,.191,.240,3.5,9.5,6.5,31.9,2.7,0.4,12.8,22.5,,96.7,48.9,145.5,.148,,3.3,0.0,3.3,63.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 seasons,,SEA,NBA,,999,36858,20.1,.529,.183,.239,3.8,9.6,6.7,33.9,3.0,0.5,12.7,23.8,,82.9,40.9,123.8,.161,,4.0,0.2,4.2,57.8
2 seasons,,MIA,NBA,,149,3808,10.0,.495,.387,.200,1.7,9.3,5.6,18.3,1.6,0.3,14.5,14.2,,1.9,3.5,5.4,.068,,-1.2,-0.4,-1.5,0.5
1 season,,LAL,NBA,,82,2825,17.3,.528,.161,.246,2.8,11.0,6.9,26.9,1.8,0.5,11.7,20.4,,5.3,2.7,8.1,.137,,2.3,-0.2,2.1,2.9
1 season,,BOS,NBA,,77,2541,15.1,.537,.178,.277,2.3,8.5,5.4,29.2,1.8,0.4,15.4,17.0,,3.8,1.6,5.4,.102,,1.0,-1.3,-0.3,1.1
1 season,,MIL,NBA,,28,1085,20.5,.523,.143,.249,2.5,6.8,4.6,33.8,2.0,0.5,9.6,25.0,,2.8,0.1,2.9,.128,,3.9,-2.9,1.0,0.8
