
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1986-87,22,CLE,NBA,PG,67,1217,11.3,.489,.165,.269,2.9,7.4,5.2,23.5,1.7,0.2,18.1,19.1,,0.0,1.1,1.1,.043,,-2.2,-1.6,-3.8,-0.6
1987-88,23,CLE,NBA,PG,80,2626,17.6,.589,.152,.259,2.5,5.5,4.0,28.1,1.9,0.3,14.5,20.6,,5.6,2.2,7.8,.143,,2.9,-1.7,1.2,2.1
1988-89 ★,24,CLE,NBA,PG,75,2728,20.6,.623,.210,.290,2.1,7.0,4.7,33.8,2.1,0.1,15.7,21.0,,8.0,3.3,11.3,.199,,4.6,-1.1,3.5,3.8
1989-90,25,CLE,NBA,PG,73,2706,21.1,.589,.351,.317,2.7,7.7,5.2,39.2,2.1,0.1,15.0,22.8,,7.6,2.5,10.1,.179,,5.5,-1.6,3.9,4.0
1990-91,26,CLE,NBA,PG,16,571,21.7,.610,.272,.318,1.6,7.5,4.6,44.6,3.7,0.2,20.1,21.3,,1.4,0.6,2.0,.167,,3.9,-1.6,2.4,0.6
1991-92 ★,27,CLE,NBA,PG,72,2138,22.7,.610,.291,.318,2.1,6.8,4.5,37.9,2.2,0.3,13.5,24.1,,7.5,1.6,9.1,.205,,6.3,-2.6,3.8,3.1
1992-93 ★,28,CLE,NBA,PG,75,2380,22.1,.609,.297,.309,1.9,7.6,4.8,38.1,1.9,0.3,14.9,24.5,,7.4,2.3,9.8,.197,,5.5,-2.3,3.2,3.1
1993-94 ★,29,CLE,NBA,PG,76,2386,22.7,.586,.296,.267,1.9,9.2,5.6,42.0,2.3,0.3,14.4,24.6,,7.6,2.4,10.0,.201,,6.2,-1.7,4.6,3.9
1994-95,30,CLE,NBA,PG,48,1375,20.6,.554,.413,.265,2.2,8.2,5.1,48.0,1.4,0.2,17.2,28.8,,2.8,1.4,4.2,.147,,5.4,-2.7,2.7,1.6
1995-96,31,WSB,NBA,PG,7,127,10.3,.435,.500,.167,0.9,5.5,3.2,21.3,2.4,0.0,13.4,26.2,,-0.1,0.1,0.0,-0.011,,-2.0,-3.7,-5.7,-0.1
1996-97,32,GSW,NBA,PG,70,1876,16.5,.597,.480,.290,2.3,9.1,5.7,29.8,1.9,0.1,19.5,19.6,,3.7,0.3,4.0,.102,,2.7,-2.8,-0.1,0.9
1997-98,33,ORL,NBA,PG,63,1430,14.9,.518,.292,.194,1.9,8.8,5.3,38.6,2.0,0.3,21.9,23.7,,0.5,1.3,1.7,.058,,0.5,-2.2,-1.6,0.1
Career,,,NBA,,722,21560,19.6,.586,.291,.283,2.2,7.6,4.9,36.1,2.0,0.2,16.0,22.8,,51.9,19.2,71.1,.158,,4.1,-2.0,2.2,22.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,CLE,NBA,,582,18127,20.4,.591,.274,.290,2.2,7.4,4.8,36.7,2.0,0.2,15.3,23.0,,47.9,17.5,65.4,.173,,4.6,-1.8,2.8,21.8
1 season,,GSW,NBA,,70,1876,16.5,.597,.480,.290,2.3,9.1,5.7,29.8,1.9,0.1,19.5,19.6,,3.7,0.3,4.0,.102,,2.7,-2.8,-0.1,0.9
1 season,,ORL,NBA,,63,1430,14.9,.518,.292,.194,1.9,8.8,5.3,38.6,2.0,0.3,21.9,23.7,,0.5,1.3,1.7,.058,,0.5,-2.2,-1.6,0.1
1 season,,WSB,NBA,,7,127,10.3,.435,.500,.167,0.9,5.5,3.2,21.3,2.4,0.0,13.4,26.2,,-0.1,0.1,0.0,-0.011,,-2.0,-3.7,-5.7,-0.1
