
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1986-87,22,MIL,NBA,PG,13,205,6.2,.364,.226,.194,3.2,11.0,7.1,27.9,1.2,0.3,23.8,17.6,,-0.4,0.2,-0.2,-0.050,,-5.3,-1.1,-6.4,-0.2
1987-88,23,IND,NBA,PG,51,760,9.5,.479,.096,.258,1.6,7.9,4.8,31.2,1.4,0.2,24.6,17.1,,-0.3,0.6,0.3,.016,,-3.6,-2.1,-5.7,-0.7
1988-89,24,IND,NBA,PG,80,1571,12.5,.540,.170,.326,1.6,8.5,5.3,34.2,2.0,0.1,25.9,18.2,,0.5,0.8,1.3,.040,,-1.5,-2.2,-3.7,-0.7
1989-90,25,ORL,NBA,PG,70,1460,13.2,.519,.284,.256,1.6,10.1,5.7,30.8,1.1,0.2,14.8,16.2,,1.9,0.1,2.0,.065,,0.2,-2.9,-2.7,-0.2
1990-91,26,ORL,NBA,PG,79,2714,17.8,.563,.219,.363,2.2,8.8,5.4,36.7,1.6,0.1,17.3,21.8,,5.5,1.5,7.0,.124,,3.3,-1.7,1.6,2.5
1991-92,27,ORL,NBA,PG,75,2377,14.4,.534,.288,.319,1.7,8.0,4.7,34.4,1.5,0.1,19.1,21.4,,2.2,1.0,3.2,.065,,1.1,-2.5,-1.4,0.4
1992-93,28,ORL,NBA,PG,78,3086,15.2,.581,.264,.364,2.0,8.2,5.3,34.8,1.4,0.0,20.5,18.1,,5.6,2.4,8.0,.125,,2.2,-1.2,1.0,2.3
1993-94,29,ORL,NBA,PG,82,2303,13.1,.549,.256,.345,2.1,7.1,4.6,30.0,1.0,0.1,20.6,17.3,,3.5,0.9,4.4,.091,,0.1,-2.9,-2.8,-0.5
1994-95,30,WSB,NBA,PG,62,2077,15.7,.599,.391,.346,1.4,7.6,4.4,32.4,1.7,0.2,20.4,17.8,,3.7,0.7,4.5,.103,,1.7,-2.7,-0.9,0.6
1995-96,31,PHI,NBA,PG,10,236,9.0,.513,.596,.175,0.5,7.5,3.9,25.8,1.5,0.0,20.7,14.7,,0.1,0.0,0.1,.014,,-2.1,-3.8,-6.0,-0.2
Career,,,NBA,,600,16789,14.4,.552,.263,.331,1.8,8.3,5.0,33.3,1.5,0.1,19.9,18.8,,22.3,8.1,30.4,.087,,0.9,-2.2,-1.2,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,ORL,NBA,,384,11940,14.9,.553,.259,.338,2.0,8.3,5.1,33.7,1.4,0.1,18.7,19.2,,18.7,5.8,24.6,.099,,1.6,-2.1,-0.5,4.4
2 seasons,,IND,NBA,,131,2331,11.5,.521,.146,.304,1.6,8.3,5.1,33.2,1.8,0.1,25.5,17.8,,0.2,1.4,1.6,.033,,-2.2,-2.1,-4.3,-1.4
1 season,,WSB,NBA,,62,2077,15.7,.599,.391,.346,1.4,7.6,4.4,32.4,1.7,0.2,20.4,17.8,,3.7,0.7,4.5,.103,,1.7,-2.7,-0.9,0.6
1 season,,MIL,NBA,,13,205,6.2,.364,.226,.194,3.2,11.0,7.1,27.9,1.2,0.3,23.8,17.6,,-0.4,0.2,-0.2,-0.050,,-5.3,-1.1,-6.4,-0.2
1 season,,PHI,NBA,,10,236,9.0,.513,.596,.175,0.5,7.5,3.9,25.8,1.5,0.0,20.7,14.7,,0.1,0.0,0.1,.014,,-2.1,-3.8,-6.0,-0.2
