
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1987-88,22,SAC,NBA,PG,61,2170,13.3,.537,.056,.294,2.0,4.9,3.5,27.7,2.0,0.2,19.0,18.0,,1.6,0.6,2.2,.049,,-0.2,-2.1,-2.3,-0.2
1988-89,23,SAC,NBA,PG,81,3145,14.3,.523,.108,.302,1.6,6.1,3.9,29.2,1.5,0.1,15.7,20.7,,2.8,1.3,4.1,.062,,0.3,-2.0,-1.7,0.2
1989-90,24,TOT,NBA,PG,79,2421,13.3,.526,.102,.242,0.8,6.5,3.7,26.6,1.6,0.2,15.9,18.9,,1.7,1.0,2.6,.052,,-0.6,-2.3,-2.9,-0.5
1989-90,24,SAC,NBA,PG,46,1747,12.8,.518,.097,.216,0.7,7.0,3.9,25.6,1.6,0.2,15.5,19.4,,0.6,0.9,1.5,.040,,-1.0,-1.7,-2.7,-0.3
1989-90,24,ATL,NBA,PG,33,674,14.5,.548,.118,.319,1.2,5.3,3.2,29.2,1.6,0.1,16.8,17.4,,1.1,0.1,1.2,.084,,0.4,-3.7,-3.3,-0.2
1990-91,25,HOU,NBA,PG,78,2699,18.3,.599,.135,.339,1.4,5.0,3.2,30.9,1.9,0.2,17.1,21.2,,6.2,2.8,9.0,.161,,2.2,-1.5,0.7,1.9
1991-92,26,HOU,NBA,PG,81,2735,15.0,.557,.151,.278,1.4,5.7,3.6,30.9,1.9,0.2,18.2,19.8,,3.4,1.7,5.1,.089,,0.3,-2.2,-1.8,0.1
1992-93,27,HOU,NBA,PG,82,2422,17.1,.633,.294,.298,1.4,5.8,3.7,27.5,1.7,0.2,16.2,18.3,,6.0,2.1,8.2,.162,,2.6,-2.0,0.6,1.6
1993-94,28,HOU,NBA,PG,78,2209,14.2,.581,.309,.218,1.3,5.4,3.5,22.6,1.3,0.1,13.9,18.1,,3.9,2.2,6.1,.132,,0.9,-1.8,-0.9,0.6
1994-95,29,HOU,NBA,PG,81,2030,16.2,.640,.558,.250,1.6,6.9,4.4,24.1,1.8,0.3,15.7,17.3,,4.7,1.4,6.1,.144,,2.8,-2.1,0.6,1.4
1995-96,30,HOU,NBA,PG,68,1617,12.5,.568,.513,.228,1.5,5.1,3.4,23.2,1.5,0.1,16.4,17.0,,2.0,0.8,2.9,.085,,0.3,-3.0,-2.7,-0.3
1996-97,31,TOT,NBA,PG,48,765,12.3,.580,.565,.188,0.6,6.0,3.3,25.2,1.3,0.0,21.5,19.4,,0.6,0.1,0.6,.039,,-0.3,-4.2,-4.5,-0.5
1996-97,31,DET,NBA,PG,9,64,14.7,.551,.500,.100,0.0,9.5,4.9,26.6,0.9,0.0,12.6,18.5,,0.1,0.0,0.2,.130,,0.3,-3.6,-3.4,0.0
1996-97,31,ORL,NBA,PG,6,47,6.9,.612,.385,.154,2.4,2.6,2.5,14.5,0.0,0.0,30.2,19.5,,0.0,0.0,0.0,-0.032,,-4.4,-4.8,-9.2,-0.1
1996-97,31,DEN,NBA,PG,33,654,12.5,.580,.583,.199,0.5,5.9,3.2,25.9,1.4,0.0,21.7,19.5,,0.5,0.0,0.5,.035,,0.0,-4.2,-4.3,-0.4
Career,,,NBA,,737,22213,14.9,.570,.226,.276,1.4,5.8,3.6,27.3,1.7,0.2,16.7,19.0,,32.8,14.0,46.8,.101,,0.9,-2.1,-1.2,4.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,HOU,NBA,,468,13712,15.8,.595,.289,.277,1.4,5.6,3.6,27.1,1.7,0.2,16.4,18.8,,26.2,11.1,37.3,.130,,1.5,-2.0,-0.5,5.2
3 seasons,,SAC,NBA,,188,7062,13.6,.526,.091,.279,1.5,6.0,3.7,27.9,1.7,0.2,16.6,19.6,,5.0,2.8,7.7,.052,,-0.2,-2.0,-2.1,-0.2
1 season,,ATL,NBA,,33,674,14.5,.548,.118,.319,1.2,5.3,3.2,29.2,1.6,0.1,16.8,17.4,,1.1,0.1,1.2,.084,,0.4,-3.7,-3.3,-0.2
1 season,,DEN,NBA,,33,654,12.5,.580,.583,.199,0.5,5.9,3.2,25.9,1.4,0.0,21.7,19.5,,0.5,0.0,0.5,.035,,0.0,-4.2,-4.3,-0.4
1 season,,DET,NBA,,9,64,14.7,.551,.500,.100,0.0,9.5,4.9,26.6,0.9,0.0,12.6,18.5,,0.1,0.0,0.2,.130,,0.3,-3.6,-3.4,0.0
1 season,,ORL,NBA,,6,47,6.9,.612,.385,.154,2.4,2.6,2.5,14.5,0.0,0.0,30.2,19.5,,0.0,0.0,0.0,-0.032,,-4.4,-4.8,-9.2,-0.1
