
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1988-89,22,NYK,NBA,PG,81,1358,18.0,.539,.104,.407,4.1,9.1,6.5,31.8,3.3,0.1,18.1,23.3,,2.2,1.5,3.7,.131,,1.2,-0.7,0.5,0.9
1989-90,23,TOT,NBA,PG,82,2140,15.7,.494,.040,.368,4.8,8.6,6.8,31.2,2.9,0.4,16.2,20.4,,1.6,2.6,4.3,.095,,0.4,0.2,0.7,1.4
1989-90,23,NYK,NBA,PG,51,1019,15.9,.484,.054,.337,4.8,8.8,6.9,30.7,3.4,0.5,16.1,21.6,,0.6,1.2,1.8,.083,,-0.2,0.1,0.0,0.5
1989-90,23,SAS,NBA,PG,31,1121,15.4,.504,.024,.400,4.9,8.4,6.7,31.5,2.5,0.3,16.3,19.2,,1.0,1.5,2.5,.107,,1.0,0.3,1.3,0.9
1990-91,24,SAS,NBA,PG,58,2076,16.2,.538,.051,.324,3.2,8.2,5.8,31.5,2.7,0.3,17.3,18.1,,2.7,3.1,5.7,.132,,1.2,0.7,1.8,2.0
1991-92,25,SAS,NBA,PG,57,2053,16.9,.507,.023,.402,4.9,9.1,7.0,33.8,2.9,0.5,17.1,19.2,,2.3,2.9,5.2,.123,,1.4,1.1,2.5,2.4
1992-93,26,POR,NBA,SG,78,2474,18.0,.543,.037,.467,5.1,9.9,7.4,33.0,2.6,0.6,16.8,19.7,,4.1,3.3,7.4,.143,,1.9,0.9,2.8,3.0
1993-94,27,POR,NBA,PG,82,2889,19.8,.543,.009,.431,4.4,9.8,7.0,38.2,2.5,0.5,16.5,22.0,,6.3,3.0,9.3,.155,,3.2,0.2,3.4,3.9
1994-95,28,POR,NBA,PG,64,2267,21.6,.544,.130,.402,3.5,12.8,7.9,39.9,2.8,0.3,15.8,24.6,,5.3,3.2,8.5,.179,,4.1,1.0,5.0,4.0
1995-96,29,POR,NBA,PG,67,2526,19.1,.519,.109,.413,4.0,9.3,6.7,43.4,2.0,0.5,17.4,25.4,,3.8,3.3,7.1,.136,,2.6,0.3,3.0,3.2
1996-97,30,WSB,NBA,PG,82,2997,19.7,.533,.070,.450,3.8,9.2,6.5,38.1,2.5,0.3,16.9,23.9,,5.5,3.3,8.8,.141,,2.2,-0.3,1.9,2.9
1997-98,31,WAS,NBA,PG,76,3020,19.6,.501,.042,.435,4.1,11.4,7.6,43.1,2.2,0.6,16.5,23.7,,5.1,3.0,8.1,.129,,2.5,0.1,2.6,3.5
1998-99,32,WAS,NBA,PG,44,1632,20.2,.488,.070,.391,3.9,11.4,7.6,45.9,2.5,0.2,16.7,24.0,,2.8,1.3,4.1,.120,,3.1,-0.3,2.8,2.0
1999-00,33,WAS,NBA,PG,69,2188,17.1,.485,.028,.400,3.8,9.9,6.8,38.9,2.2,0.6,17.3,22.0,,2.4,1.3,3.7,.081,,1.2,-0.7,0.5,1.4
2000-01,34,TOT,NBA,PG,54,1371,16.1,.493,.040,.403,3.1,9.0,6.0,37.1,2.0,0.3,17.5,20.1,,1.7,0.5,2.2,.076,,0.4,-2.2,-1.8,0.1
2000-01,34,WAS,NBA,PG,33,1020,17.4,.507,.048,.444,2.8,9.4,6.0,38.9,2.2,0.3,17.3,20.9,,1.5,0.3,1.8,.084,,1.3,-2.1,-0.8,0.3
2000-01,34,POR,NBA,PG,21,351,12.2,.443,.010,.265,3.9,7.9,6.0,31.9,1.5,0.2,18.0,17.7,,0.1,0.2,0.4,.053,,-2.4,-2.2,-4.6,-0.2
