
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2011-12,22,SAC,NBA,PG,65,1656,17.6,.574,.384,.324,3.0,8.4,5.6,25.6,1.6,0.4,13.9,19.8,,4.2,0.0,4.3,.124,,3.2,-2.7,0.5,1.1
2012-13,23,SAC,NBA,PG,79,2122,17.5,.574,.386,.345,1.5,7.3,4.4,24.6,1.6,0.1,12.7,23.0,,5.2,-0.1,5.0,.114,,3.5,-3.7,-0.2,1.0
2013-14,24,SAC,NBA,PG,72,2497,20.5,.574,.332,.371,2.1,7.5,4.7,32.2,1.9,0.3,14.3,26.3,,6.4,1.3,7.7,.149,,5.0,-2.1,2.9,3.1
2014-15,25,TOT,NBA,PG,67,1726,20.6,.579,.434,.437,2.1,7.7,4.9,27.2,1.6,0.2,13.1,27.8,,5.0,1.1,6.1,.169,,4.6,-2.8,1.8,1.6
2014-15,25,PHO,NBA,PG,46,1181,19.7,.579,.404,.412,2.4,7.8,5.1,23.6,1.9,0.3,12.8,25.8,,3.2,0.7,4.0,.162,,3.8,-2.3,1.5,1.0
2014-15,25,BOS,NBA,PG,21,545,22.3,.579,.488,.481,1.4,7.5,4.4,35.2,1.1,0.0,13.5,32.1,,1.8,0.3,2.1,.185,,6.4,-3.9,2.5,0.6
2015-16 ★,26,BOS,NBA,PG,62,2005,21.2,.555,.338,.369,1.8,7.8,4.8,34.4,1.7,0.2,12.0,29.0,,5.4,2.1,7.5,.179,,4.8,-2.0,2.8,2.4
Career,,,NBA,,345,10006,19.5,.570,.369,.372,2.1,7.7,4.8,29.1,1.7,0.2,13.2,25.3,,26.3,4.4,30.6,.147,,4.3,-2.6,1.6,9.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SAC,NBA,,216,6275,18.7,.574,.362,.352,2.2,7.7,4.8,27.9,1.7,0.2,13.7,23.5,,15.8,1.2,17.1,.130,,4.0,-2.8,1.2,5.1
2 seasons,,BOS,NBA,,83,2550,21.4,.560,.370,.393,1.7,7.7,4.7,34.6,1.6,0.2,12.4,29.7,,7.2,2.4,9.6,.181,,5.1,-2.4,2.7,3.0
1 season,,PHO,NBA,,46,1181,19.7,.579,.404,.412,2.4,7.8,5.1,23.6,1.9,0.3,12.8,25.8,,3.2,0.7,4.0,.162,,3.8,-2.3,1.5,1.0
