
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1985-86,22,ATL,NBA,PG,79,1229,18.5,.578,.027,.667,2.4,8.6,5.5,38.7,3.2,0.2,23.0,23.0,,1.9,1.6,3.5,.137,,1.4,-0.4,1.0,0.9
1986-87,23,ATL,NBA,PG,33,532,16.5,.536,.037,.648,1.2,10.9,6.1,42.6,3.1,0.2,25.2,21.5,,0.4,0.8,1.2,.107,,-0.2,0.0,-0.2,0.2
1987-88,24,ATL,NBA,PG,82,1347,14.8,.533,.047,.326,1.3,10.8,6.0,34.3,2.3,0.5,22.2,18.5,,0.9,1.4,2.3,.082,,-0.7,-0.7,-1.3,0.2
1988-89,25,ATL,NBA,PG,81,1219,13.0,.504,.076,.207,1.8,9.3,5.5,31.0,2.8,0.3,20.8,13.3,,0.9,1.3,2.2,.088,,-1.2,-0.6,-1.7,0.1
1989-90,26,ATL,NBA,PG,82,2184,15.3,.538,.031,.302,2.0,8.8,5.3,29.9,2.4,0.3,16.8,16.1,,3.5,1.1,4.5,.099,,0.9,-1.2,-0.2,1.0
1990-91,27,ATL,NBA,PG,75,2197,16.6,.545,.209,.331,2.0,6.8,4.3,27.7,2.6,0.2,13.7,20.0,,4.0,1.4,5.4,.118,,2.2,-1.5,0.7,1.5
1991-92,28,SAC,NBA,PG,77,2724,15.1,.540,.198,.303,1.2,7.7,4.4,29.5,2.2,0.5,16.7,21.0,,2.5,1.6,4.1,.072,,0.6,-1.8,-1.2,0.5
1992-93,29,SAC,NBA,PG,69,2335,14.4,.536,.171,.416,2.0,7.4,4.6,29.3,2.1,0.2,17.2,19.7,,2.5,1.4,3.9,.080,,0.5,-1.6,-1.1,0.6
1993-94,30,SAC,NBA,PG,79,2567,15.2,.546,.202,.310,1.8,7.7,4.7,31.2,1.8,0.6,15.4,17.9,,4.0,1.1,5.1,.096,,1.2,-1.8,-0.6,0.9
1994-95,31,SAC,NBA,PG,76,2458,13.7,.552,.210,.351,1.4,6.8,4.1,29.8,1.6,0.2,18.9,17.7,,3.1,2.0,5.1,.099,,-0.1,-1.4,-1.5,0.3
1995-96,32,TOT,NBA,PG,77,1462,14.8,.551,.300,.337,2.0,6.2,4.1,32.1,1.9,0.4,18.2,18.4,,2.3,0.7,3.0,.099,,0.2,-3.4,-3.2,-0.4
1995-96,32,ATL,NBA,PG,51,817,15.3,.576,.257,.392,2.6,6.2,4.3,27.2,1.8,0.2,16.4,17.1,,1.8,0.4,2.2,.132,,0.4,-3.0,-2.6,-0.1
1995-96,32,MIN,NBA,PG,26,645,14.3,.522,.346,.279,1.3,6.1,3.7,38.2,2.0,0.6,20.2,20.1,,0.5,0.3,0.8,.058,,-0.1,-3.9,-3.9,-0.3
1997-98,34,ORL,NBA,PG,4,34,3.2,.466,.083,.167,6.8,3.5,5.2,26.7,1.6,0.0,35.2,26.8,,-0.1,0.0,-0.1,-0.161,,-7.2,-2.9,-10.1,-0.1
Career,,,NBA,,814,20288,15.1,.543,.159,.358,1.8,7.9,4.8,31.1,2.2,0.3,17.9,18.8,,25.8,14.5,40.2,.095,,0.6,-1.5,-0.9,5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,ATL,NBA,,483,9525,15.7,.545,.104,.382,1.9,8.6,5.2,31.8,2.6,0.3,18.7,18.3,,13.3,8.1,21.4,.108,,0.7,-1.1,-0.4,3.8
4 seasons,,SAC,NBA,,301,10084,14.6,.543,.195,.342,1.6,7.4,4.5,30.0,1.9,0.4,17.0,19.1,,12.1,6.1,18.2,.086,,0.6,-1.7,-1.1,2.3
1 season,,MIN,NBA,,26,645,14.3,.522,.346,.279,1.3,6.1,3.7,38.2,2.0,0.6,20.2,20.1,,0.5,0.3,0.8,.058,,-0.1,-3.9,-3.9,-0.3
1 season,,ORL,NBA,,4,34,3.2,.466,.083,.167,6.8,3.5,5.2,26.7,1.6,0.0,35.2,26.8,,-0.1,0.0,-0.1,-0.161,,-7.2,-2.9,-10.1,-0.1
