
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,20,VAN,NBA,PG,50,50,35.2,5.2,12.1,.430,0.3,1.5,.203,4.9,10.6,.461,.442,2.5,3.4,.751,0.6,2.1,2.7,6.5,1.6,0.1,2.9,2.4,13.2
1999-00,21,VAN,NBA,PG,82,82,38.5,5.6,12.6,.445,0.9,2.6,.363,4.7,10.0,.466,.483,2.4,3.0,.780,0.9,2.8,3.7,8.1,1.6,0.2,3.0,2.1,14.5
2000-01,22,VAN,NBA,PG,82,82,38.9,6.4,14.1,.454,1.3,3.5,.379,5.1,10.6,.478,.500,1.7,2.3,.761,0.6,3.1,3.7,8.4,1.3,0.1,3.0,1.8,15.9
2001-02,23,SAC,NBA,PG,80,80,33.2,5.6,12.3,.453,0.6,1.7,.370,4.9,10.6,.466,.479,1.9,2.4,.803,0.5,2.3,2.8,5.0,1.1,0.2,1.7,1.7,13.7
2002-03,24,SAC,NBA,PG,55,55,33.4,6.0,12.7,.470,1.0,2.5,.409,5.0,10.2,.485,.510,2.9,3.4,.861,0.6,2.1,2.7,5.2,1.3,0.1,2.3,1.7,15.9
2003-04,25,SAC,NBA,PG,82,82,36.3,6.4,14.3,.450,1.8,4.6,.392,4.6,9.7,.479,.514,3.7,4.5,.815,0.8,2.6,3.4,5.4,1.4,0.2,2.1,1.8,18.4
2004-05,26,SAC,NBA,PG,80,80,38.6,7.0,15.8,.443,1.6,4.6,.360,5.4,11.3,.477,.495,4.0,5.2,.775,1.0,3.2,4.2,6.8,1.6,0.4,2.5,2.4,19.6
2005-06,27,SAC,NBA,PG,82,82,38.6,7.3,16.9,.432,2.3,6.1,.386,4.9,10.8,.458,.501,4.2,4.9,.849,0.4,2.6,2.9,5.4,1.0,0.1,2.4,2.1,21.1
2006-07,28,SAC,NBA,PG,82,82,34.0,5.7,14.2,.404,2.1,5.9,.360,3.6,8.4,.435,.478,3.5,4.2,.830,0.5,2.7,3.2,4.7,1.1,0.1,2.4,1.7,17.1
2007-08,29,TOT,NBA,PG,48,44,32.8,5.2,12.6,.411,1.9,5.2,.375,3.2,7.4,.437,.488,1.6,2.1,.780,0.3,3.0,3.3,6.0,1.1,0.1,2.5,2.0,13.9
2007-08,29,SAC,NBA,PG,15,12,31.5,5.2,12.8,.406,1.6,4.1,.393,3.6,8.7,.412,.469,1.5,2.1,.742,0.7,3.0,3.7,5.0,1.3,0.1,2.5,2.3,13.5
2007-08,29,ATL,NBA,PG,33,32,33.3,5.2,12.5,.414,2.1,5.7,.369,3.1,6.8,.451,.498,1.7,2.1,.797,0.2,3.0,3.2,6.5,1.1,0.1,2.5,1.9,14.1
2008-09,30,ATL,NBA,PG,79,79,34.7,5.5,12.7,.435,2.1,5.4,.390,3.4,7.3,.468,.518,1.7,2.2,.789,0.5,3.0,3.5,5.0,1.2,0.1,1.6,1.8,14.9
2009-10,31,ATL,NBA,PG,80,80,27.4,3.4,8.1,.416,1.6,4.1,.389,1.8,4.0,.444,.514,0.9,1.0,.861,0.3,2.1,2.3,3.9,0.8,0.0,1.1,2.0,9.1
2010-11,32,TOT,NBA,PG,80,68,28.6,3.1,7.2,.431,1.9,4.4,.440,1.2,2.9,.417,.563,0.5,0.8,.629,0.2,2.2,2.4,3.3,0.6,0.1,1.3,2.2,8.6
