
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,21,LAC,NBA,PG,81,25,22.7,2.5,6.0,.424,0.4,1.4,.276,2.1,4.6,.470,.457,1.2,1.6,.744,0.8,1.9,2.8,3.6,1.1,0.3,2.4,1.6,6.7
2011-12,22,LAC,NBA,PG,40,1,11.6,1.2,3.2,.389,0.2,0.8,.200,1.1,2.4,.448,.413,0.7,1.1,.636,0.6,1.1,1.6,1.7,0.8,0.4,1.2,1.5,3.3
2012-13,23,LAC,NBA,PG,76,12,20.4,3.3,7.5,.445,0.4,1.0,.397,2.9,6.4,.453,.473,1.4,1.8,.791,1.0,1.9,3.0,3.1,1.4,0.7,1.8,1.5,8.5
2013-14,24,PHO,NBA,PG,43,40,32.9,6.2,12.9,.477,1.2,3.3,.357,5.0,9.7,.517,.522,4.3,5.5,.772,0.6,4.1,4.7,5.5,1.6,0.3,3.3,2.3,17.7
2014-15,25,PHO,NBA,PG,81,81,34.6,5.8,12.9,.447,1.1,3.4,.324,4.7,9.6,.491,.489,4.4,5.4,.800,0.9,4.3,5.2,6.1,1.6,0.6,3.4,2.3,17.0
2015-16,26,PHO,NBA,PG,31,31,34.2,7.2,15.9,.453,1.5,4.2,.372,5.6,11.7,.482,.502,4.5,5.5,.802,0.6,3.5,4.0,6.1,2.0,0.6,3.5,2.4,20.4
Career,,,NBA,,352,190,25.9,4.2,9.3,.447,0.7,2.2,.333,3.4,7.1,.482,.486,2.6,3.3,.781,0.8,2.8,3.6,4.3,1.4,0.5,2.6,1.9,11.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAC,NBA,,197,38,19.6,2.6,6.0,.431,0.4,1.1,.308,2.2,4.9,.459,.460,1.2,1.6,.749,0.9,1.8,2.6,3.0,1.2,0.5,1.9,1.5,6.7
3 seasons,,PHO,NBA,,155,152,34.0,6.2,13.5,.457,1.2,3.5,.344,5.0,10.0,.496,.501,4.3,5.5,.793,0.8,4.1,4.8,5.9,1.7,0.5,3.4,2.3,17.9
