
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,23,WSB,NBA,PG,79,14,20.6,2.1,5.4,.390,0.0,0.2,.188,2.1,5.2,.398,.393,0.7,0.9,.784,0.4,1.3,1.7,5.1,1.6,0.0,1.3,1.7,5.0
1988-89,24,CHH,NBA,PG,79,21,22.2,2.3,5.3,.426,0.0,0.2,.077,2.2,5.1,.437,.427,0.8,1.1,.750,0.7,1.4,2.1,7.8,1.4,0.1,1.6,1.8,5.4
1989-90,25,CHH,NBA,PG,81,65,33.9,4.0,8.2,.491,0.1,0.3,.192,4.0,7.9,.503,.495,1.3,1.7,.791,0.6,2.0,2.6,10.7,2.0,0.0,1.8,2.1,9.4
1990-91,26,CHH,NBA,PG,81,46,28.4,3.0,6.5,.460,0.0,0.1,.000,3.0,6.3,.471,.460,1.1,1.3,.796,0.7,2.0,2.7,8.3,1.7,0.0,1.5,2.0,7.0
1991-92,27,CHH,NBA,PG,82,69,34.0,3.9,8.2,.472,0.0,0.3,.074,3.8,7.9,.489,.474,1.1,1.5,.783,0.7,2.2,2.9,9.1,2.1,0.1,1.9,1.9,8.9
1992-93,28,CHH,NBA,PG,81,80,35.0,4.1,9.0,.453,0.1,0.3,.231,4.0,8.7,.462,.458,1.7,2.1,.833,0.6,3.0,3.7,8.8,2.0,0.1,1.9,2.2,10.0
1993-94,29,CHH,NBA,PG,77,77,35.7,4.6,9.8,.471,0.0,0.2,.167,4.6,9.6,.476,.473,1.6,2.0,.806,1.0,3.1,4.1,10.1,1.7,0.0,2.2,1.9,10.8
1994-95,30,CHH,NBA,PG,78,78,33.7,4.5,9.4,.477,0.1,0.4,.200,4.4,9.0,.489,.481,2.1,2.3,.889,0.7,2.6,3.3,8.7,1.3,0.0,1.7,1.9,11.1
1995-96,31,CHH,NBA,PG,6,0,12.8,1.0,2.7,.375,0.0,0.2,.000,1.0,2.5,.400,.375,0.3,0.3,1.000,1.0,0.2,1.2,3.2,0.3,0.0,1.0,0.7,2.3
1996-97,32,CHH,NBA,PG,65,65,28.9,3.1,6.8,.460,0.9,2.2,.417,2.2,4.6,.482,.528,0.8,1.0,.844,0.4,1.8,2.2,7.2,1.3,0.0,1.7,1.8,8.0
1997-98,33,TOT,NBA,PG,61,31,25.7,2.3,5.3,.437,0.1,0.3,.250,2.2,5.0,.446,.443,1.0,1.1,.897,0.5,1.7,2.2,5.4,1.1,0.0,1.7,1.0,5.7
1997-98,33,CHH,NBA,PG,2,0,8.0,1.0,2.5,.400,0.0,0.0,,1.0,2.5,.400,.400,1.0,1.0,1.000,0.0,0.5,0.5,2.0,1.0,0.0,0.5,1.0,3.0
1997-98,33,GSW,NBA,PG,59,31,26.3,2.4,5.4,.437,0.1,0.3,.250,2.3,5.1,.447,.443,1.0,1.1,.894,0.5,1.7,2.2,5.5,1.1,0.1,1.8,0.9,5.8
1998-99,34,GSW,NBA,PG,36,5,19.8,2.1,4.3,.494,0.0,0.2,.000,2.1,4.1,.514,.494,0.9,1.0,.861,0.4,1.6,2.0,3.7,1.2,0.0,1.3,1.2,5.1
1999-00,35,TOR,NBA,PG,80,5,21.6,2.0,4.5,.439,0.2,0.6,.333,1.8,3.8,.456,.462,1.0,1.1,.908,0.3,1.4,1.7,3.7,0.8,0.1,0.7,1.5,5.1
2000-01,36,TOR,NBA,PG,3,0,11.3,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,1.0,1.0,1.7,0.7,0.0,1.3,1.0,0.0
Career,,,NBA,,889,556,28.6,3.2,7.0,.458,0.1,0.4,.278,3.1,6.6,.470,.467,1.2,1.4,.827,0.6,2.0,2.6,7.6,1.5,0.0,1.6,1.8,7.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,CHH,NBA,,632,501,31.3,3.7,7.8,.466,0.1,0.5,.282,3.5,7.4,.477,.474,1.3,1.6,.818,0.7,2.2,2.9,8.8,1.7,0.0,1.8,1.9,8.8
2 seasons,,GSW,NBA,,95,36,23.9,2.3,5.0,.456,0.0,0.2,.182,2.2,4.7,.469,.460,0.9,1.1,.882,0.5,1.7,2.1,4.9,1.1,0.0,1.6,1.1,5.5
2 seasons,,TOR,NBA,,83,5,21.3,1.9,4.3,.436,0.2,0.6,.327,1.7,3.7,.455,.460,1.0,1.0,.908,0.3,1.4,1.7,3.7,0.8,0.0,0.8,1.5,4.9
1 season,,WSB,NBA,,79,14,20.6,2.1,5.4,.390,0.0,0.2,.188,2.1,5.2,.398,.393,0.7,0.9,.784,0.4,1.3,1.7,5.1,1.6,0.0,1.3,1.7,5.0
