
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,24,HOU,NBA,PG,66,6,17.0,2.5,5.9,.418,0.4,1.3,.295,2.1,4.5,.453,.451,1.4,1.6,.841,0.4,1.7,2.0,2.9,0.9,0.1,1.4,2.1,6.7
1994-95,25,HOU,NBA,PG,82,1,23.0,3.1,7.2,.427,0.8,2.3,.330,2.3,4.9,.473,.480,2.6,3.1,.843,0.5,2.1,2.6,4.9,1.1,0.2,2.0,2.5,9.5
1995-96,26,HOU,NBA,PG,61,0,27.6,4.7,10.8,.439,1.2,3.4,.348,3.5,7.3,.482,.495,3.9,4.7,.825,0.8,2.2,3.1,4.6,0.9,0.1,2.6,2.7,14.5
1996-97,27,TOT,NBA,PG,61,44,28.1,5.5,12.8,.430,1.3,3.8,.351,4.2,9.0,.464,.482,3.5,4.1,.845,0.8,2.2,3.0,5.0,1.3,0.3,2.8,3.3,15.9
1996-97,27,PHO,NBA,PG,22,9,24.5,4.5,11.0,.415,0.9,2.8,.306,3.7,8.1,.453,.454,4.8,5.6,.855,0.5,1.7,2.3,4.5,1.0,0.3,2.7,3.0,14.8
1996-97,27,DAL,NBA,PG,16,13,24.9,4.4,10.3,.424,0.9,3.1,.306,3.4,7.3,.474,.470,2.6,3.1,.840,0.9,2.3,3.1,3.6,1.1,0.4,2.6,3.0,12.3
1996-97,27,NJN,NBA,PG,23,22,33.8,7.3,16.4,.443,2.0,5.2,.392,5.2,11.2,.467,.505,2.8,3.3,.831,0.9,2.7,3.6,6.5,1.6,0.3,2.9,3.7,19.3
1997-98,28,NJN,NBA,PG,75,72,34.7,6.8,15.4,.441,0.2,1.1,.188,6.6,14.3,.460,.448,5.8,6.8,.860,1.0,2.1,3.0,8.0,1.6,0.3,3.6,3.5,19.6
1998-99,29,TOT,NBA,PG,8,3,24.9,4.9,11.6,.419,0.3,1.3,.200,4.6,10.4,.446,.430,5.9,6.3,.940,0.6,1.3,1.9,4.5,1.1,0.0,2.5,2.8,15.9
1998-99,29,NJN,NBA,PG,4,3,25.0,5.3,12.3,.429,0.3,1.8,.143,5.0,10.5,.476,.439,7.3,7.8,.935,0.3,1.3,1.5,4.8,0.8,0.0,3.0,3.3,18.0
