
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,20,CHH,NBA,PG,82,0,18.6,2.2,5.3,.420,0.3,1.4,.225,1.9,3.9,.488,.449,1.2,1.9,.634,0.6,1.4,2.0,3.8,1.2,0.2,1.7,2.5,5.9
2000-01,21,CHH,NBA,PG,82,82,38.9,5.0,11.7,.427,1.0,3.3,.310,4.0,8.3,.474,.472,2.8,4.1,.677,1.6,3.4,5.0,7.3,2.1,0.4,2.8,3.3,13.8
2001-02 ★,22,CHH,NBA,PG,82,82,40.5,6.8,16.4,.417,2.1,5.8,.356,4.7,10.5,.451,.480,2.4,4.1,.580,1.1,3.1,4.3,8.5,2.1,0.6,3.0,2.9,18.1
2002-03,23,NOH,NBA,PG,50,47,37.8,6.6,16.0,.416,2.0,5.7,.350,4.7,10.3,.452,.478,1.9,2.6,.710,1.1,2.6,3.7,6.4,1.8,0.4,2.8,3.0,17.1
2003-04 ★,24,NOH,NBA,PG,67,66,40.1,8.3,20.9,.395,2.8,8.7,.321,5.5,12.2,.448,.462,3.5,5.3,.673,1.0,3.3,4.3,7.5,2.4,0.4,3.2,2.7,22.9
2004-05,25,TOT,NBA,PG,46,32,34.4,6.3,16.3,.387,2.6,7.7,.333,3.8,8.7,.435,.465,4.0,5.3,.761,0.7,3.1,3.8,7.9,1.8,0.3,2.8,2.7,19.2
2004-05,25,NOH,NBA,PG,18,13,32.9,6.2,16.8,.366,2.4,7.6,.321,3.7,9.2,.404,.439,4.1,5.3,.771,0.9,2.8,3.7,7.2,1.7,0.2,2.1,2.9,18.9
2004-05,25,GSW,NBA,PG,28,19,35.3,6.4,16.0,.401,2.6,7.8,.341,3.8,8.3,.457,.483,4.0,5.3,.755,0.6,3.3,3.9,8.3,1.8,0.4,3.3,2.6,19.5
2005-06,26,GSW,NBA,PG,54,48,36.5,6.2,15.9,.389,1.9,6.0,.315,4.3,9.9,.434,.448,3.6,5.4,.675,0.8,3.5,4.4,8.9,1.6,0.3,2.9,3.1,17.9
2006-07,27,GSW,NBA,PG,63,62,35.3,7.2,16.3,.439,1.3,4.4,.304,5.8,11.9,.489,.480,4.4,5.9,.745,0.8,3.6,4.4,8.1,2.1,0.5,3.1,2.9,20.1
2007-08,28,GSW,NBA,PG,82,82,39.0,7.9,18.6,.426,2.1,6.4,.330,5.8,12.2,.477,.483,3.9,5.2,.750,1.2,3.5,4.7,7.6,2.3,0.5,2.8,3.0,21.8
2008-09,29,LAC,NBA,PG,65,60,34.6,5.5,14.8,.370,1.5,5.0,.302,3.9,9.7,.406,.422,2.4,3.2,.757,0.7,3.0,3.7,7.7,1.7,0.5,3.0,3.0,14.9
2009-10,30,LAC,NBA,PG,75,73,33.6,5.5,13.5,.406,1.1,3.9,.277,4.4,9.6,.459,.446,3.2,3.9,.821,0.7,2.9,3.5,8.0,1.7,0.6,2.8,2.8,15.3
2010-11,31,TOT,NBA,PG,58,44,28.4,5.0,11.9,.417,1.4,4.1,.339,3.6,7.8,.458,.475,1.7,2.3,.771,0.6,2.1,2.7,6.7,1.3,0.5,2.5,2.5,13.1
2010-11,31,LAC,NBA,PG,43,35,29.5,5.0,12.0,.416,1.0,3.5,.296,3.9,8.4,.466,.459,1.8,2.4,.760,0.7,2.1,2.8,7.0,1.4,0.5,2.5,2.7,12.8
2010-11,31,CLE,NBA,PG,15,9,25.3,5.0,11.9,.421,2.4,5.8,.414,2.6,6.1,.429,.522,1.5,1.8,.815,0.4,2.0,2.4,6.1,1.1,0.4,2.6,1.9,13.9
2011-12,32,NYK,NBA,PG,29,14,20.5,2.3,6.3,.370,0.9,2.9,.306,1.4,3.4,.424,.440,0.6,0.8,.667,0.4,1.5,1.9,4.7,1.2,0.1,2.6,2.1,6.1
Career,,,NBA,,835,692,34.2,5.9,14.3,.409,1.6,5.0,.320,4.3,9.3,.456,.465,2.8,3.9,.711,0.9,2.9,3.8,7.2,1.8,0.4,2.8,2.8,16.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CHH,NBA,,246,164,32.7,4.7,11.1,.421,1.1,3.5,.324,3.5,7.6,.466,.472,2.1,3.4,.629,1.1,2.7,3.7,6.5,1.8,0.4,2.5,2.9,12.6
4 seasons,,GSW,NBA,,227,211,36.9,7.1,17.0,.418,1.9,5.9,.322,5.2,11.1,.469,.474,4.0,5.4,.731,0.9,3.5,4.4,8.1,2.0,0.4,3.0,2.9,20.1
3 seasons,,LAC,NBA,,183,168,33.0,5.4,13.6,.394,1.2,4.2,.291,4.1,9.4,.441,.440,2.6,3.3,.788,0.7,2.7,3.4,7.6,1.6,0.5,2.8,2.8,14.6
3 seasons,,NOH,NBA,,135,126,38.3,7.4,18.5,.398,2.4,7.4,.329,4.9,11.1,.444,.464,3.0,4.3,.698,1.0,3.0,4.0,7.0,2.1,0.4,2.9,2.8,20.2
1 season,,NYK,NBA,,29,14,20.5,2.3,6.3,.370,0.9,2.9,.306,1.4,3.4,.424,.440,0.6,0.8,.667,0.4,1.5,1.9,4.7,1.2,0.1,2.6,2.1,6.1
1 season,,CLE,NBA,,15,9,25.3,5.0,11.9,.421,2.4,5.8,.414,2.6,6.1,.429,.522,1.5,1.8,.815,0.4,2.0,2.4,6.1,1.1,0.4,2.6,1.9,13.9
