
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,22,HOU,NBA,PG,77,77,36.1,6.5,14.5,.445,1.4,4.0,.345,5.1,10.5,.483,.493,3.7,4.7,.786,2.0,3.3,5.3,6.6,1.5,0.4,4.0,3.0,18.0
2000-01,23,HOU,NBA,PG,80,79,39.9,6.9,15.2,.451,1.7,4.2,.396,5.2,11.0,.472,.506,4.5,5.5,.817,2.4,4.5,6.9,6.5,1.8,0.4,3.3,3.4,19.9
2001-02 ★,24,HOU,NBA,PG,57,56,41.1,7.4,17.7,.417,1.2,3.7,.324,6.2,14.0,.442,.451,5.7,7.4,.773,1.8,5.2,7.0,6.4,1.2,0.4,3.9,3.0,21.6
2002-03 ★,25,HOU,NBA,PG,81,81,41.0,7.0,16.2,.435,1.0,3.0,.354,6.0,13.2,.453,.468,5.9,7.3,.800,2.0,4.2,6.2,6.2,1.7,0.5,3.7,3.1,21.0
2003-04 ★,26,HOU,NBA,PG,79,79,40.4,5.7,14.1,.403,0.9,3.2,.292,4.8,11.0,.435,.436,4.3,5.5,.775,1.5,4.0,5.5,6.2,1.8,0.4,3.7,3.3,16.6
2004-05,27,ORL,NBA,PG,78,78,38.2,7.2,17.1,.423,0.5,1.6,.299,6.7,15.4,.436,.438,6.4,7.8,.823,1.6,4.2,5.8,7.0,1.4,0.4,4.1,3.5,21.3
2005-06,28,TOT,NBA,PG-SG,70,60,34.2,4.8,10.9,.435,0.4,1.2,.301,4.4,9.7,.452,.452,4.5,5.7,.787,1.1,3.1,4.1,4.9,1.1,0.2,3.1,2.9,14.4
2005-06,28,ORL,NBA,PG,46,45,37.7,5.4,12.5,.433,0.4,1.5,.257,5.0,11.0,.457,.449,5.0,6.3,.797,1.3,3.5,4.8,5.7,1.1,0.2,3.4,3.1,16.2
2005-06,28,NYK,NBA,SG,24,15,27.5,3.5,7.9,.442,0.3,0.5,.538,3.2,7.4,.435,.461,3.5,4.5,.761,0.6,2.4,3.0,3.5,1.0,0.3,2.4,2.6,10.8
2006-07,29,NYK,NBA,SG,44,30,28.1,3.2,7.8,.408,1.0,2.5,.378,2.2,5.3,.422,.469,4.0,4.8,.829,0.8,2.8,3.6,3.9,0.9,0.3,2.3,2.9,11.3
2007-08,30,HOU,NBA,PG,10,3,19.9,1.9,5.7,.333,0.4,1.7,.235,1.5,4.0,.375,.368,1.3,2.3,.565,0.8,1.5,2.3,3.0,0.9,0.5,1.4,2.5,5.5
Career,,,NBA,,576,543,37.6,6.2,14.4,.429,1.0,2.9,.341,5.2,11.4,.451,.463,4.8,6.1,.797,1.7,3.9,5.6,6.0,1.5,0.4,3.5,3.1,18.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,HOU,NBA,,384,375,39.1,6.5,15.2,.430,1.2,3.5,.345,5.3,11.6,.456,.470,4.7,5.9,.789,1.9,4.1,6.0,6.3,1.6,0.4,3.6,3.2,19.0
2 seasons,,ORL,NBA,,124,123,38.0,6.5,15.4,.426,0.5,1.6,.284,6.1,13.8,.443,.441,5.9,7.2,.815,1.5,3.9,5.4,6.5,1.3,0.3,3.8,3.3,19.4
2 seasons,,NYK,NBA,,68,45,27.9,3.3,7.8,.420,0.7,1.8,.395,2.6,6.0,.428,.466,3.8,4.7,.806,0.7,2.7,3.4,3.7,0.9,0.3,2.3,2.8,11.1
