
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,23,CLE,NBA,SG,82,82,37.4,9.0,19.7,.455,0.2,1.1,.213,8.7,18.5,.470,.461,4.7,6.9,.684,2.1,2.7,4.8,4.8,2.5,1.0,4.2,3.0,22.9
1987-88,24,CLE,NBA,SG,57,52,32.1,6.0,12.8,.464,0.1,0.4,.150,5.9,12.5,.473,.467,3.4,4.9,.705,1.1,2.8,3.9,4.9,2.1,0.9,2.8,2.8,15.4
1988-89,25,CLE,NBA,SG,82,82,34.8,7.2,14.0,.511,0.4,1.4,.250,6.8,12.6,.540,.523,3.9,5.2,.751,1.5,3.5,5.0,5.3,2.3,0.9,2.8,2.7,18.6
1989-90,26,TOT,NBA,SG,35,35,39.1,8.6,18.2,.473,0.4,1.5,.275,8.2,16.7,.490,.484,5.2,6.6,.788,2.1,3.8,5.9,5.2,2.3,1.2,2.9,3.0,22.8
1989-90,26,CLE,NBA,SG,7,7,37.4,8.7,19.7,.442,0.1,0.7,.200,8.6,19.0,.451,.446,4.4,5.9,.756,2.7,4.1,6.9,7.0,2.0,1.3,2.6,3.6,22.0
1989-90,26,LAC,NBA,SG,28,28,39.5,8.6,17.8,.481,0.5,1.6,.283,8.1,16.2,.501,.494,5.4,6.8,.795,2.0,3.7,5.6,4.8,2.4,1.1,2.9,2.9,23.0
1990-91,27,LAC,NBA,SG,39,34,35.5,7.3,18.7,.391,1.2,3.8,.324,6.1,14.9,.408,.424,3.7,5.6,.668,1.5,3.3,4.8,5.4,1.7,0.9,3.3,2.8,19.6
1991-92,28,LAC,NBA,SG,82,82,38.3,6.9,15.8,.440,0.8,2.6,.303,6.2,13.2,.467,.465,3.6,4.9,.736,1.5,4.0,5.5,5.1,1.9,0.9,3.1,2.4,18.2
1992-93,29,LAC,NBA,SG,80,77,37.1,6.8,15.0,.451,0.7,2.3,.280,6.1,12.7,.482,.472,3.8,5.0,.769,1.5,3.9,5.3,4.5,2.2,0.9,2.8,2.7,18.0
1993-94,30,LAC,NBA,SG,75,75,38.1,7.6,17.8,.426,0.9,3.1,.301,6.6,14.7,.453,.453,4.0,5.6,.715,1.7,4.4,6.1,4.6,1.9,0.7,3.2,2.2,20.1
1994-95,31,CHI,NBA,SG,77,53,19.9,2.7,6.4,.426,0.4,1.4,.282,2.3,4.9,.467,.457,1.1,1.7,.618,0.7,1.7,2.3,2.0,1.3,0.4,1.3,1.7,6.9
1995-96,32,CHI,NBA,PG,80,80,23.6,2.9,6.3,.467,0.4,1.3,.269,2.6,5.0,.519,.495,1.2,1.7,.705,0.9,1.7,2.7,2.6,1.3,0.4,0.9,1.7,7.4
1996-97,33,CHI,NBA,SG,76,74,22.9,2.3,5.3,.436,0.9,2.5,.362,1.4,2.9,.500,.520,0.8,1.1,.707,0.6,1.9,2.5,2.5,1.1,0.5,0.7,1.8,6.3
1997-98,34,CHI,NBA,PG,82,82,27.9,3.6,8.1,.441,0.2,1.0,.190,3.4,7.1,.477,.453,2.0,2.6,.750,1.3,2.2,3.5,2.9,1.3,0.6,1.1,2.2,9.3
1998-99,35,CHI,NBA,SG,35,35,31.6,4.2,11.1,.377,0.8,2.4,.318,3.4,8.7,.393,.412,2.0,2.9,.703,1.4,3.7,5.1,3.3,1.7,1.0,1.9,2.3,11.2
1999-00,36,LAL,NBA,PG,80,78,25.5,2.7,6.6,.399,0.4,1.3,.311,2.2,5.3,.421,.430,1.3,1.8,.680,1.2,3.0,4.2,3.4,1.1,0.5,1.7,2.1,7.0
2000-01,37,LAL,NBA,PG,47,46,24.2,2.7,5.8,.469,0.4,1.5,.264,2.3,4.2,.543,.504,0.7,1.0,.708,1.0,2.6,3.5,2.4,0.8,0.5,1.3,1.5,6.5
Career,,,NBA,,1009,967,30.9,5.3,11.8,.446,0.5,1.8,.289,4.8,10.0,.474,.468,2.7,3.8,.720,1.3,3.0,4.3,3.9,1.7,0.7,2.2,2.3,13.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,CHI,NBA,,350,324,24.4,3.0,7.0,.432,0.5,1.6,.298,2.5,5.4,.473,.467,1.3,1.9,.703,0.9,2.1,3.0,2.6,1.3,0.5,1.1,1.9,7.9
5 seasons,,LAC,NBA,,304,296,37.7,7.3,16.6,.436,0.8,2.7,.300,6.4,13.9,.463,.460,3.9,5.3,.737,1.6,3.9,5.5,4.8,2.0,0.9,3.0,2.5,19.3
4 seasons,,CLE,NBA,,228,223,35.1,7.6,15.9,.474,0.2,1.0,.226,7.3,14.9,.491,.481,4.1,5.8,.713,1.6,3.1,4.7,5.1,2.3,1.0,3.3,2.9,19.4
2 seasons,,LAL,NBA,,127,124,25.0,2.7,6.3,.423,0.4,1.4,.292,2.3,4.9,.460,.455,1.1,1.5,.687,1.1,2.8,4.0,3.0,1.0,0.5,1.5,1.8,6.8
