
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,22,NYK,NBA,PG,82,80,39.6,5.3,12.4,.432,0.4,1.5,.254,5.0,10.8,.458,.448,2.5,3.2,.774,1.5,3.4,4.8,10.6,2.5,0.1,3.1,3.0,13.6
1988-89 ★,23,NYK,NBA,PG,72,72,34.4,6.7,14.2,.467,1.1,3.3,.338,5.5,10.9,.507,.507,2.5,3.6,.698,1.5,3.3,4.7,8.6,1.9,0.1,3.1,2.3,16.9
1989-90,24,NYK,NBA,PG,82,69,29.6,4.0,9.1,.437,0.4,1.6,.267,3.6,7.5,.472,.460,1.5,2.0,.727,1.3,2.6,3.9,7.4,1.3,0.0,2.6,1.5,9.9
1990-91,25,NYK,NBA,PG,72,21,22.2,3.5,7.1,.492,0.2,0.7,.255,3.3,6.3,.519,.505,1.6,2.2,.731,0.9,1.9,2.7,6.3,0.8,0.1,1.9,1.1,8.8
1991-92,26,NYK,NBA,PG,81,81,30.4,4.5,9.2,.491,0.1,0.5,.256,4.4,8.7,.506,.499,2.1,2.7,.770,1.2,2.6,3.8,8.6,1.4,0.2,2.6,1.9,11.3
1992-93,27,LAC,NBA,PG,82,81,38.0,5.6,11.5,.486,0.3,1.0,.268,5.3,10.5,.506,.497,2.9,3.7,.803,1.6,3.2,4.7,8.8,1.7,0.1,2.7,1.9,14.4
1993-94,28,LAC,NBA,PG,79,79,34.3,4.2,9.3,.452,0.5,1.6,.283,3.7,7.7,.488,.477,2.1,2.7,.791,1.4,3.1,4.4,8.6,1.5,0.1,2.9,1.5,10.9
1994-95,29,IND,NBA,PG,82,67,29.3,2.9,6.9,.422,0.3,1.1,.310,2.6,5.8,.443,.446,1.5,1.9,.778,0.9,2.8,3.7,7.5,1.3,0.2,2.6,1.8,7.6
1995-96,30,IND,NBA,PG,81,81,32.6,3.7,7.7,.473,0.8,1.8,.430,2.9,5.9,.486,.524,1.9,2.4,.785,0.8,3.0,3.8,7.8,1.2,0.1,2.5,1.9,10.0
1996-97,31,TOT,NBA,PG,82,82,37.2,3.5,8.3,.426,0.8,2.2,.371,2.7,6.1,.445,.474,2.0,2.6,.789,1.1,3.7,4.8,11.4,1.2,0.1,3.3,2.0,9.9
1996-97,31,DEN,NBA,PG,52,52,38.5,3.7,8.7,.425,0.9,2.3,.397,2.8,6.4,.435,.478,2.1,2.6,.801,1.4,3.8,5.2,12.3,1.0,0.2,3.3,2.0,10.4
1996-97,31,IND,NBA,PG,30,30,35.1,3.2,7.6,.427,0.6,1.9,.316,2.6,5.7,.465,.467,2.0,2.6,.766,0.7,3.5,4.1,9.8,1.5,0.1,3.4,1.9,9.0
1997-98,32,IND,NBA,PG,82,82,29.4,3.0,7.3,.416,0.5,1.7,.314,2.5,5.6,.447,.452,1.7,2.2,.761,0.8,3.1,3.9,8.7,1.0,0.0,2.1,1.6,8.3
1998-99,33,IND,NBA,PG,49,49,28.2,2.8,6.7,.419,0.7,2.1,.311,2.2,4.6,.469,.468,1.3,1.6,.823,0.7,3.1,3.8,7.9,0.9,0.1,2.0,1.2,7.6
1999-00,34,IND,NBA,PG,81,81,27.0,3.0,7.0,.432,1.1,2.7,.403,1.9,4.3,.450,.510,1.0,1.2,.806,0.8,2.9,3.7,8.0,0.9,0.1,2.1,1.4,8.1
