
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,20,MEM,NBA,PG,10,0,17.5,1.4,3.8,.368,0.3,0.8,.375,1.1,3.0,.367,.408,2.5,2.8,.893,1.2,1.9,3.1,3.2,1.4,0.1,1.2,2.0,5.6
2007-08,21,MEM,NBA,PG,82,9,25.5,3.1,7.2,.432,0.4,1.7,.257,2.7,5.5,.487,.463,3.0,4.2,.698,0.5,2.5,3.0,3.6,1.1,0.3,1.5,2.3,9.6
2008-09,22,TOT,NBA,PG,77,21,21.8,2.5,5.6,.435,0.3,1.3,.255,2.1,4.4,.488,.464,2.4,2.9,.801,0.3,2.1,2.5,3.6,0.9,0.2,1.5,1.9,7.6
2008-09,22,MEM,NBA,PG,49,21,21.9,2.3,5.6,.412,0.3,1.4,.246,1.9,4.1,.468,.443,2.6,3.3,.801,0.3,2.0,2.3,3.6,1.0,0.2,1.6,1.8,7.6
2008-09,22,HOU,NBA,PG,28,0,21.7,2.8,5.8,.475,0.3,1.0,.276,2.5,4.8,.519,.500,1.9,2.3,.800,0.5,2.3,2.8,3.5,0.8,0.3,1.4,2.0,7.6
2009-10,23,HOU,NBA,PG,68,0,24.3,2.7,6.8,.397,0.5,2.0,.272,2.2,4.8,.448,.436,3.2,3.8,.827,1.3,2.3,3.6,4.5,0.9,0.1,1.7,2.5,9.1
2010-11,24,HOU,NBA,PG,75,71,34.2,4.6,10.8,.426,1.7,4.6,.376,2.9,6.2,.464,.506,2.6,3.3,.765,1.2,2.9,4.1,6.7,1.4,0.3,2.1,2.8,13.5
2011-12,25,HOU,NBA,PG,47,38,32.1,4.5,10.9,.409,1.7,4.5,.374,2.8,6.4,.434,.486,3.6,4.2,.864,0.8,3.7,4.5,6.6,1.6,0.3,2.8,2.8,14.3
2012-13,26,TOR,NBA,PG,68,52,29.7,3.7,9.2,.401,1.5,4.1,.362,2.2,5.1,.433,.482,2.8,3.5,.795,0.8,3.9,4.7,6.4,1.4,0.4,2.3,3.2,11.6
2013-14,27,TOR,NBA,PG,79,79,36.2,5.8,13.7,.423,2.4,6.3,.380,3.4,7.3,.460,.511,4.0,4.9,.813,1.1,3.6,4.7,7.4,1.5,0.2,2.5,3.4,17.9
2014-15 ★,28,TOR,NBA,PG,70,70,34.5,6.1,14.9,.412,1.9,5.6,.338,4.3,9.3,.457,.476,3.6,4.5,.808,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3.0,17.8
2015-16,29,TOR,NBA,PG,49,49,36.7,6.6,15.5,.422,2.8,7.1,.388,3.8,8.4,.450,.511,5.0,5.8,.865,0.7,4.2,4.9,6.2,2.3,0.5,2.9,2.7,20.8
Career,,,NBA,,625,389,30.0,4.2,10.2,.418,1.4,3.9,.353,2.9,6.2,.458,.486,3.2,4.0,.801,0.8,3.2,4.0,5.6,1.4,0.3,2.1,2.7,13.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,TOR,NBA,,266,250,34.2,5.5,13.2,.416,2.1,5.7,.368,3.4,7.5,.452,.495,3.8,4.6,.820,0.9,3.9,4.7,6.8,1.6,0.3,2.5,3.1,16.8
4 seasons,,HOU,NBA,,218,109,29.0,3.7,8.9,.419,1.2,3.3,.352,2.6,5.6,.458,.484,2.9,3.6,.814,1.1,2.8,3.9,5.6,1.2,0.3,2.0,2.6,11.5
3 seasons,,MEM,NBA,,141,30,23.7,2.7,6.4,.424,0.4,1.5,.258,2.3,4.9,.476,.455,2.8,3.8,.739,0.5,2.3,2.8,3.6,1.1,0.2,1.5,2.1,8.6
