
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,23,CLE,NBA,PG,82,36,25.5,4.1,9.2,.449,0.1,0.6,.204,4.0,8.6,.466,.456,2.8,3.6,.774,1.0,2.4,3.4,5.8,1.0,0.2,2.0,2.4,11.1
2000-01,24,CLE,NBA,PG,82,82,34.7,5.5,12.2,.452,0.2,0.8,.266,5.3,11.4,.465,.461,4.6,5.5,.833,1.1,3.2,4.4,8.0,1.5,0.3,3.2,2.8,15.8
2001-02,25,CLE,NBA,PG,81,81,37.3,5.9,12.9,.454,0.3,1.1,.253,5.6,11.8,.472,.464,4.5,5.5,.817,1.3,3.3,4.7,10.9,1.6,0.4,3.0,2.8,16.5
2002-03,26,LAC,NBA,PG,80,80,36.4,4.7,11.6,.406,0.3,1.4,.213,4.4,10.3,.432,.419,3.9,4.9,.795,1.1,2.9,4.0,6.7,1.2,0.1,2.6,2.5,13.6
2003-04,27,DEN,NBA,PG,82,82,34.6,5.2,11.5,.457,0.1,0.8,.185,5.1,10.7,.477,.463,4.2,5.0,.832,1.5,2.9,4.5,6.1,1.7,0.3,2.6,2.4,14.8
2004-05,28,DEN,NBA,PG,82,82,34.8,5.2,10.9,.477,0.1,0.5,.154,5.1,10.4,.492,.480,3.1,3.7,.838,1.2,2.9,4.1,6.9,1.5,0.1,2.7,2.5,13.6
2005-06,29,DEN,NBA,PG,82,82,35.8,4.9,10.6,.463,0.1,0.3,.185,4.9,10.3,.472,.466,3.8,5.2,.738,1.1,3.2,4.3,8.2,1.3,0.2,3.1,2.6,13.7
2006-07,30,TOT,NBA,PG,80,79,37.1,5.3,11.4,.466,0.1,0.4,.143,5.2,10.9,.479,.469,2.8,3.5,.784,1.2,3.2,4.4,7.8,1.4,0.1,2.8,2.3,13.4
2006-07,30,DEN,NBA,PG,23,23,35.7,5.1,10.8,.472,0.2,0.7,.250,4.9,10.1,.487,.480,2.7,3.7,.729,1.1,3.4,4.5,9.1,1.6,0.2,3.0,2.5,13.0
2006-07,30,PHI,NBA,PG,57,56,37.6,5.4,11.6,.464,0.0,0.3,.053,5.4,11.3,.477,.465,2.8,3.5,.808,1.3,3.1,4.4,7.3,1.3,0.1,2.7,2.2,13.6
2007-08,31,PHI,NBA,PG,82,82,36.8,6.9,14.1,.492,0.0,0.4,.088,6.9,13.7,.504,.494,3.1,4.1,.772,1.2,2.8,4.0,6.9,1.3,0.1,2.5,2.2,17.0
2008-09,32,PHI,NBA,PG,82,82,36.3,6.0,12.7,.473,0.2,0.6,.283,5.8,12.0,.483,.480,4.1,5.0,.826,1.5,3.0,4.5,6.5,1.3,0.2,2.4,2.4,16.3
2009-10,33,POR,NBA,PG,82,66,30.5,4.9,11.1,.445,0.2,1.0,.200,4.7,10.1,.469,.454,3.9,4.8,.821,1.0,2.3,3.2,5.4,1.1,0.1,2.1,2.1,14.0
2010-11,34,POR,NBA,PG,81,81,32.7,4.8,10.4,.460,0.0,0.5,.108,4.7,10.0,.476,.462,3.1,3.6,.853,1.2,2.5,3.7,7.0,1.4,0.1,2.4,2.1,12.7
2011-12,35,DEN,NBA,SG,66,7,27.4,3.7,8.4,.438,0.3,1.3,.217,3.4,7.1,.478,.455,2.1,2.6,.811,0.8,2.5,3.3,6.7,1.0,0.1,2.7,2.0,9.7
2012-13,36,DEN,NBA,PG,82,11,26.2,3.7,7.7,.479,0.2,0.8,.266,3.5,6.9,.504,.493,2.0,2.4,.840,0.7,2.2,2.9,5.9,0.9,0.1,2.1,1.9,9.6
2013-14,37,TOT,NBA,SG,58,2,16.9,1.8,4.0,.459,0.2,0.4,.524,1.6,3.6,.452,.483,1.0,1.3,.779,0.5,1.8,2.2,3.4,0.6,0.2,1.1,1.3,4.9
