
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,22,POR,NBA,PG,79,3,15.4,2.7,5.7,.474,0.2,0.5,.310,2.5,5.1,.491,.489,1.6,2.0,.806,0.4,1.0,1.5,2.5,1.0,0.0,1.3,1.7,7.1
1986-87,23,POR,NBA,PG,80,80,33.9,4.7,9.6,.488,0.2,0.8,.217,4.5,8.9,.511,.497,3.5,4.2,.838,0.9,3.3,4.2,8.9,2.0,0.1,3.2,2.4,13.1
1987-88,24,POR,NBA,PG,82,82,36.5,5.6,10.9,.519,0.3,0.8,.348,5.3,10.0,.533,.533,3.3,4.0,.846,0.8,3.8,4.6,10.1,1.8,0.2,3.0,2.5,14.9
1988-89,25,POR,NBA,PG,81,81,38.3,6.7,14.1,.471,1.0,2.7,.361,5.7,11.4,.497,.506,3.4,4.0,.840,1.0,3.5,4.5,9.5,1.8,0.1,3.1,2.3,17.7
1989-90,26,POR,NBA,PG,80,80,34.8,5.6,12.1,.462,1.1,3.0,.374,4.5,9.1,.491,.508,5.3,5.9,.892,0.7,2.7,3.4,9.1,1.9,0.1,3.1,1.9,17.6
1990-91 ★,27,POR,NBA,PG,81,81,32.9,6.0,11.7,.515,1.6,3.9,.415,4.4,7.8,.564,.584,3.4,4.2,.823,0.6,2.8,3.5,8.0,2.0,0.1,2.3,1.9,17.0
1991-92,28,POR,NBA,PG,82,82,34.0,6.4,13.8,.461,1.6,4.0,.395,4.8,9.8,.488,.518,3.8,4.5,.856,0.6,2.5,3.1,5.8,1.5,0.1,2.3,1.9,18.1
1992-93 ★,29,POR,NBA,PG,81,81,35.6,6.2,13.7,.454,1.8,4.3,.414,4.4,9.4,.472,.519,4.0,4.8,.843,0.7,3.2,3.9,5.2,1.2,0.1,2.5,1.5,18.2
1993-94,30,POR,NBA,PG,77,34,26.9,4.5,10.9,.416,1.4,3.7,.390,3.1,7.2,.430,.482,2.6,3.0,.872,0.6,2.2,2.8,5.2,1.0,0.2,2.2,1.7,13.1
1994-95,31,POR,NBA,PG,35,9,22.0,3.0,7.6,.393,1.3,3.3,.386,1.7,4.4,.399,.476,1.7,2.3,.707,0.5,1.8,2.3,3.8,0.9,0.1,1.7,1.7,8.9
1995-96,32,MIN,NBA,PG,82,40,25.3,3.3,7.4,.442,0.9,2.8,.314,2.4,4.7,.518,.501,2.0,2.5,.785,0.4,2.1,2.6,5.5,1.1,0.2,2.1,1.9,9.4
1996-97,33,MIN,NBA,PG,82,20,19.1,2.3,5.5,.416,0.8,2.4,.335,1.5,3.0,.482,.491,1.5,2.0,.765,0.4,1.8,2.1,3.6,0.7,0.1,1.6,1.3,6.9
1997-98,34,MIN,NBA,PG,82,8,21.8,3.2,7.0,.449,1.1,2.8,.395,2.0,4.2,.485,.529,2.0,2.4,.856,0.5,1.6,2.0,3.3,0.8,0.2,1.3,1.3,9.5
1998-99,35,MIA,NBA,PG,50,1,27.3,3.4,7.4,.465,1.2,2.8,.411,2.3,4.6,.498,.543,2.5,3.0,.831,0.3,2.5,2.8,2.9,1.0,0.2,1.5,1.9,10.5
1999-00,36,SAS,NBA,PG,68,8,23.7,3.0,6.8,.447,1.3,3.0,.435,1.7,3.8,.457,.544,2.0,2.5,.806,0.4,2.5,2.8,3.3,0.7,0.1,1.5,1.2,9.4
2000-01,37,SAS,NBA,PG,80,42,21.0,2.5,5.5,.448,1.1,2.6,.424,1.4,2.9,.468,.547,1.2,1.5,.793,0.3,2.2,2.5,3.1,0.7,0.1,1.3,1.1,7.2
2001-02,38,SAS,NBA,PG,72,0,18.0,1.9,4.5,.424,0.8,2.0,.415,1.1,2.5,.430,.516,0.9,1.2,.819,0.2,2.1,2.3,2.8,0.6,0.2,1.2,1.2,5.5
Career,,,NBA,,1274,732,27.8,4.3,9.2,.463,1.0,2.6,.386,3.2,6.6,.493,.518,2.7,3.2,.836,0.6,2.5,3.0,5.6,1.2,0.1,2.1,1.7,12.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,POR,NBA,,758,613,31.6,5.3,11.2,.470,1.0,2.6,.385,4.3,8.6,.497,.516,3.4,4.0,.846,0.7,2.7,3.5,7.0,1.6,0.1,2.5,2.0,14.9
3 seasons,,MIN,NBA,,246,68,22.1,2.9,6.6,.438,0.9,2.7,.349,2.0,4.0,.497,.508,1.9,2.3,.804,0.4,1.8,2.3,4.1,0.8,0.2,1.6,1.5,8.6
3 seasons,,SAS,NBA,,220,50,20.8,2.5,5.6,.441,1.1,2.5,.426,1.4,3.0,.454,.538,1.4,1.7,.805,0.3,2.3,2.5,3.1,0.7,0.2,1.3,1.2,7.3
1 season,,MIA,NBA,,50,1,27.3,3.4,7.4,.465,1.2,2.8,.411,2.3,4.6,.498,.543,2.5,3.0,.831,0.3,2.5,2.8,2.9,1.0,0.2,1.5,1.9,10.5
