
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,22,CLE,NBA,PG,67,0,18.2,2.6,6.3,.408,0.3,1.0,.329,2.2,5.3,.424,.435,1.4,1.7,.833,0.5,1.3,1.7,3.0,0.6,0.1,1.6,1.1,6.9
1987-88,23,CLE,NBA,PG,80,79,32.8,6.2,12.2,.506,0.9,1.9,.486,5.3,10.3,.510,.543,2.8,3.2,.877,0.7,1.6,2.3,6.0,1.2,0.2,2.3,1.5,16.0
1988-89 ★,24,CLE,NBA,PG,75,74,36.4,7.1,13.4,.526,1.2,2.8,.441,5.8,10.6,.548,.572,3.5,3.9,.901,0.6,2.4,3.0,8.4,1.5,0.1,2.8,1.3,18.9
1989-90,25,CLE,NBA,PG,73,73,37.1,6.7,14.6,.459,2.1,5.1,.406,4.6,9.5,.487,.530,4.1,4.6,.888,0.9,2.5,3.4,9.1,1.6,0.1,2.9,1.2,19.6
1990-91,26,CLE,NBA,PG,16,16,35.7,6.1,12.2,.497,1.1,3.3,.340,4.9,8.9,.556,.544,3.7,3.9,.952,0.5,2.3,2.8,10.4,2.6,0.1,3.5,1.4,16.9
1991-92 ★,27,CLE,NBA,PG,72,72,29.7,6.1,12.5,.488,1.4,3.6,.387,4.7,8.8,.530,.545,3.8,4.0,.947,0.5,1.9,2.4,7.4,1.3,0.2,2.2,1.6,17.3
1992-93 ★,28,CLE,NBA,PG,75,74,31.7,6.4,13.1,.484,1.6,3.9,.416,4.7,9.2,.512,.546,3.9,4.1,.948,0.5,2.2,2.7,8.0,1.2,0.1,2.6,1.4,18.2
1993-94 ★,29,CLE,NBA,PG,76,73,31.4,6.3,13.2,.478,1.6,3.9,.397,4.8,9.3,.511,.536,3.1,3.5,.888,0.5,2.5,3.0,7.8,1.4,0.1,2.5,1.2,17.3
1994-95,30,CLE,NBA,PG,48,34,28.6,5.3,12.8,.413,2.1,5.3,.407,3.1,7.5,.418,.498,3.1,3.4,.914,0.5,1.8,2.3,7.0,0.7,0.1,3.0,1.0,15.8
1995-96,31,WSB,NBA,PG,7,1,18.1,2.6,8.6,.300,1.4,4.3,.333,1.1,4.3,.267,.383,1.4,1.4,1.000,0.1,0.9,1.0,2.6,0.9,0.0,1.4,1.0,8.0
1996-97,32,GSW,NBA,PG,70,49,26.8,3.8,8.4,.447,1.6,4.0,.396,2.2,4.4,.493,.542,2.2,2.4,.906,0.5,2.0,2.6,4.9,1.0,0.0,2.3,1.4,11.3
1997-98,33,ORL,NBA,PG,63,33,22.7,3.6,8.4,.431,0.8,2.5,.335,2.8,6.0,.471,.480,1.4,1.6,.845,0.4,1.7,2.0,4.7,0.8,0.1,2.6,1.5,9.5
Career,,,NBA,,722,578,29.9,5.5,11.6,.472,1.4,3.4,.402,4.1,8.2,.501,.530,3.0,3.3,.904,0.6,2.0,2.6,6.7,1.2,0.1,2.5,1.3,15.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,CLE,NBA,,582,495,31.1,5.9,12.3,.479,1.4,3.4,.409,4.5,8.9,.505,.535,3.2,3.6,.906,0.6,2.0,2.6,7.2,1.3,0.1,2.5,1.3,16.4
1 season,,GSW,NBA,,70,49,26.8,3.8,8.4,.447,1.6,4.0,.396,2.2,4.4,.493,.542,2.2,2.4,.906,0.5,2.0,2.6,4.9,1.0,0.0,2.3,1.4,11.3
1 season,,ORL,NBA,,63,33,22.7,3.6,8.4,.431,0.8,2.5,.335,2.8,6.0,.471,.480,1.4,1.6,.845,0.4,1.7,2.0,4.7,0.8,0.1,2.6,1.5,9.5
1 season,,WSB,NBA,,7,1,18.1,2.6,8.6,.300,1.4,4.3,.333,1.1,4.3,.267,.383,1.4,1.4,1.000,0.1,0.9,1.0,2.6,0.9,0.0,1.4,1.0,8.0
