
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,22,SAC,NBA,PG,61,60,35.6,5.4,11.4,.477,0.2,0.6,.308,5.2,10.7,.487,.486,2.7,3.3,.819,0.7,1.6,2.3,7.1,1.5,0.1,3.0,2.3,13.8
1988-89,23,SAC,NBA,PG,81,81,38.8,6.8,14.6,.462,0.6,1.6,.359,6.2,13.0,.475,.482,3.2,4.4,.737,0.6,2.2,2.8,7.7,1.3,0.1,3.1,2.1,17.3
1989-90,24,TOT,NBA,PG,79,51,30.6,4.8,10.3,.466,0.3,1.1,.313,4.5,9.2,.484,.482,2.0,2.5,.821,0.2,1.8,2.0,5.6,1.0,0.1,2.1,1.8,11.9
1989-90,24,SAC,NBA,PG,46,46,38.0,6.1,13.2,.461,0.5,1.3,.373,5.6,11.9,.471,.479,2.3,2.8,.809,0.2,2.4,2.6,6.6,1.2,0.2,2.7,2.1,15.0
1989-90,24,ATL,NBA,PG,33,5,20.4,3.0,6.2,.480,0.1,0.7,.167,2.8,5.5,.522,.490,1.7,2.0,.846,0.2,0.9,1.1,4.3,0.7,0.0,1.4,1.4,7.7
1990-91,25,HOU,NBA,PG,78,78,34.6,6.7,12.9,.520,0.6,1.7,.363,6.1,11.1,.545,.545,3.7,4.4,.844,0.5,1.6,2.1,7.1,1.4,0.1,3.0,1.7,17.7
1991-92,26,HOU,NBA,PG,81,80,33.8,5.3,11.2,.475,0.7,1.7,.394,4.7,9.5,.489,.504,2.7,3.1,.866,0.4,1.8,2.2,6.9,1.3,0.1,2.8,1.4,14.0
1992-93,27,HOU,NBA,PG,82,82,29.5,4.7,9.1,.520,1.2,2.7,.438,3.5,6.4,.554,.585,2.4,2.7,.878,0.3,1.6,2.0,5.4,1.0,0.1,2.0,1.3,13.0
1993-94,28,HOU,NBA,PG,78,78,28.3,4.4,9.1,.480,1.1,2.8,.405,3.2,6.3,.513,.542,1.7,2.0,.871,0.3,1.5,1.8,4.2,0.8,0.1,1.6,1.6,11.6
1994-95,29,HOU,NBA,PG,81,81,25.1,3.5,7.3,.484,1.8,4.1,.429,1.8,3.2,.553,.604,1.6,1.8,.851,0.3,1.6,1.9,4.0,0.9,0.1,1.5,1.3,10.4
1995-96,30,HOU,NBA,PG,68,56,23.8,3.0,6.8,.433,1.3,3.5,.382,1.6,3.3,.487,.531,1.3,1.6,.821,0.3,1.1,1.4,3.6,0.7,0.0,1.5,1.7,8.5
1996-97,31,TOT,NBA,PG,48,3,15.9,2.1,5.0,.423,1.2,2.8,.437,0.9,2.2,.404,.546,0.8,0.9,.867,0.1,0.8,0.9,2.4,0.4,0.0,1.5,0.6,6.3
1996-97,31,DET,NBA,PG,9,0,7.1,0.9,2.2,.400,0.6,1.1,.500,0.3,1.1,.300,.525,0.2,0.2,1.000,0.0,0.6,0.6,1.1,0.1,0.0,0.3,0.2,2.6
1996-97,31,ORL,NBA,PG,6,0,7.8,1.0,2.2,.462,0.5,0.8,.600,0.5,1.3,.375,.577,0.3,0.3,1.000,0.2,0.2,0.3,0.7,0.0,0.0,1.0,0.5,2.8
1996-97,31,DEN,NBA,PG,33,3,19.8,2.6,6.2,.422,1.5,3.6,.425,1.1,2.6,.419,.546,1.1,1.2,.854,0.1,1.0,1.1,3.1,0.5,0.0,1.9,0.8,7.9
Career,,,NBA,,737,650,30.1,4.8,10.0,.480,0.9,2.3,.399,3.9,7.7,.503,.525,2.3,2.7,.829,0.4,1.6,2.0,5.5,1.0,0.1,2.2,1.6,12.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,HOU,NBA,,468,455,29.3,4.6,9.5,.490,1.1,2.7,.407,3.5,6.7,.524,.549,2.2,2.6,.857,0.4,1.5,1.9,5.3,1.0,0.1,2.1,1.5,12.6
3 seasons,,SAC,NBA,,188,187,37.6,6.2,13.2,.466,0.4,1.2,.354,5.7,12.0,.477,.482,2.9,3.7,.775,0.5,2.0,2.6,7.2,1.3,0.1,3.0,2.2,15.6
1 season,,ATL,NBA,,33,5,20.4,3.0,6.2,.480,0.1,0.7,.167,2.8,5.5,.522,.490,1.7,2.0,.846,0.2,0.9,1.1,4.3,0.7,0.0,1.4,1.4,7.7
1 season,,DEN,NBA,,33,3,19.8,2.6,6.2,.422,1.5,3.6,.425,1.1,2.6,.419,.546,1.1,1.2,.854,0.1,1.0,1.1,3.1,0.5,0.0,1.9,0.8,7.9
1 season,,DET,NBA,,9,0,7.1,0.9,2.2,.400,0.6,1.1,.500,0.3,1.1,.300,.525,0.2,0.2,1.000,0.0,0.6,0.6,1.1,0.1,0.0,0.3,0.2,2.6
1 season,,ORL,NBA,,6,0,7.8,1.0,2.2,.462,0.5,0.8,.600,0.5,1.3,.375,.577,0.3,0.3,1.000,0.2,0.2,0.3,0.7,0.0,0.0,1.0,0.5,2.8
