
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,22,NYK,NBA,PG,81,10,16.8,3.3,7.0,.467,0.2,0.7,.322,3.0,6.3,.484,.484,2.1,2.9,.745,0.6,1.3,2.0,3.9,1.2,0.0,1.8,1.8,8.9
1989-90,23,TOT,NBA,PG,82,24,26.1,4.2,9.2,.454,0.1,0.4,.267,4.1,8.9,.461,.459,2.1,3.4,.626,1.1,2.1,3.2,5.7,1.5,0.2,2.1,2.0,10.6
1989-90,23,NYK,NBA,PG,51,0,20.0,3.3,7.6,.440,0.1,0.4,.286,3.2,7.2,.449,.448,1.6,2.5,.638,0.8,1.6,2.5,4.3,1.4,0.2,1.7,1.4,8.4
1989-90,23,SAS,NBA,PG,31,24,36.2,5.6,11.9,.468,0.1,0.3,.222,5.5,11.6,.474,.470,2.9,4.8,.615,1.5,2.8,4.3,8.0,1.8,0.2,2.7,2.9,14.2
1990-91,24,SAS,NBA,PG,58,56,35.8,5.4,11.2,.482,0.2,0.6,.333,5.2,10.7,.490,.491,2.8,3.6,.763,1.0,2.8,3.8,8.0,2.0,0.2,2.7,2.2,13.8
1991-92,25,SAS,NBA,PG,57,54,36.0,5.3,11.6,.455,0.1,0.3,.333,5.2,11.3,.458,.459,3.2,4.6,.687,1.6,3.0,4.6,8.6,2.1,0.3,2.8,2.1,13.8
1992-93,26,POR,NBA,SG,78,35,31.7,5.1,10.5,.485,0.1,0.4,.133,5.0,10.1,.499,.488,3.5,4.9,.717,1.5,2.8,4.3,7.2,1.7,0.3,2.6,2.0,13.7
1993-94,27,POR,NBA,PG,82,58,35.2,6.4,13.3,.483,0.0,0.1,.200,6.4,13.2,.486,.484,4.3,5.7,.749,1.5,3.0,4.5,9.0,1.8,0.3,3.1,2.1,17.2
1994-95,28,POR,NBA,PG,64,61,35.4,6.9,14.8,.466,0.7,1.9,.374,6.2,12.9,.480,.490,4.4,5.9,.745,1.1,3.8,5.0,8.8,1.9,0.1,3.3,1.8,18.9
1995-96,29,POR,NBA,PG,67,63,37.7,7.0,15.3,.460,0.6,1.7,.342,6.5,13.6,.475,.479,4.1,6.3,.652,1.3,3.1,4.4,9.6,1.4,0.2,3.8,2.0,18.7
1996-97,30,WSB,NBA,PG,82,81,36.5,6.3,13.5,.466,0.2,0.9,.169,6.1,12.5,.488,.472,4.5,6.1,.738,1.2,2.9,4.1,8.9,1.7,0.2,3.3,2.0,17.2
1997-98,31,WAS,NBA,PG,76,76,39.7,6.4,14.9,.434,0.2,0.6,.250,6.3,14.2,.442,.439,4.7,6.5,.726,1.5,3.9,5.3,10.5,1.7,0.3,3.5,2.4,17.8
1998-99,32,WAS,NBA,PG,44,43,37.1,5.7,13.7,.416,0.3,1.0,.286,5.4,12.8,.426,.426,4.0,5.4,.746,1.3,3.5,4.8,9.9,1.7,0.1,3.2,2.1,15.7
1999-00,33,WAS,NBA,PG,69,67,31.7,4.7,11.0,.429,0.0,0.3,.048,4.7,10.7,.440,.430,3.1,4.4,.702,1.1,2.7,3.8,7.5,1.4,0.3,2.7,2.1,12.6
2000-01,34,TOT,NBA,PG,54,28,25.4,3.4,7.9,.424,0.1,0.3,.235,3.3,7.6,.432,.429,2.4,3.2,.751,0.7,1.9,2.6,5.6,1.0,0.1,2.0,1.4,9.2
2000-01,34,WAS,NBA,PG,33,28,30.9,4.3,10.0,.426,0.1,0.5,.250,4.2,9.5,.435,.432,3.5,4.5,.782,0.8,2.4,3.2,7.0,1.3,0.1,2.5,1.7,12.2
2000-01,34,POR,NBA,PG,21,0,16.7,2.0,4.7,.418,0.0,0.0,.000,2.0,4.6,.423,.418,0.7,1.2,.577,0.5,1.1,1.7,3.4,0.5,0.0,1.1,1.0,4.6
2001-02,35,MIA,NBA,PG,76,64,30.2,4.2,9.4,.443,0.1,0.3,.308,4.1,9.1,.448,.448,2.0,2.6,.766,0.6,2.4,3.1,6.1,1.1,0.1,2.1,1.5,10.4
2002-03,36,MIN,NBA,PG,47,8,20.3,2.6,5.9,.432,0.0,0.2,.091,2.5,5.7,.446,.433,1.7,2.3,.738,0.4,1.6,2.0,4.6,1.0,0.1,1.6,1.2,6.8
2003-04,37,TOT,NBA,PG,61,10,19.6,2.5,5.8,.425,0.2,0.6,.278,2.3,5.2,.442,.439,1.2,1.6,.735,0.6,2.0,2.5,4.0,0.6,0.2,1.4,1.2,6.3
2003-04,37,ORL,NBA,PG,46,9,19.9,2.7,5.8,.454,0.2,0.7,.303,2.4,5.1,.475,.472,1.2,1.7,.750,0.5,2.0,2.6,4.0,0.6,0.2,1.5,1.3,6.8
2003-04,37,TOR,NBA,PG,15,1,18.8,1.9,5.6,.333,0.0,0.2,.000,1.9,5.4,.346,.333,1.0,1.5,.682,0.7,1.8,2.5,3.9,0.5,0.3,1.2,1.1,4.7
2004-05,38,HOU,NBA,PG,16,2,12.3,0.6,2.7,.209,0.1,0.1,.500,0.5,2.6,.195,.221,0.6,0.6,.900,0.2,1.5,1.7,2.4,0.2,0.1,1.0,0.9,1.8
Career,,,NBA,,1094,740,30.7,5.0,10.9,.454,0.2,0.6,.282,4.8,10.3,.465,.462,3.1,4.4,.721,1.1,2.7,3.7,7.3,1.5,0.2,2.6,1.9,13.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,POR,NBA,,312,217,33.7,6.0,12.7,.472,0.3,0.9,.327,5.7,11.9,.483,.483,3.8,5.4,.714,1.3,3.0,4.3,8.2,1.6,0.2,3.0,1.9,16.2
5 seasons,,WSBWAS,NBA,,304,295,35.7,5.7,12.9,.439,0.1,0.7,.206,5.5,12.3,.451,.444,4.0,5.5,.733,1.2,3.1,4.3,8.9,1.6,0.2,3.1,2.1,15.5
